Количество потоков,Время выполнения (мс)
1,4271 \
2,4160 \
3,4146 \
4,4115 \
5,4134 \
6,4135 \
7,4144 \
8,4194 \
9,4200 \
10,4178 \
11,4207 \
12,4209 \
13,4242 \
14,4205 \
15,4240 \
16,4269 \
17,4240 \
18,4283 \
19,4287 \
20,4314 \
21,4317 \
22,4304 \
23,4454 \
24,4371 \
25,4426 \
26,4355 \
27,4376 \
28,4368 \
29,4426 \
30,4447 \
31,4503 \
32,4439 \
33,4468 \
34,4453 \
35,4476 \
36,4498 \
37,4521 \
38,4610 \
39,4615 \
40,4598 \
41,4577 \
42,4537 \
43,4564 \
44,4614 \
45,4606 \
46,4579 \
47,4893 \
48,4799 \
49,4819 \
50,4823 \
51,4825 \
52,4812 \
53,4818 \
54,4836 \
55,4849 \
56,4838 \
57,4834 \
58,4840 \
59,4815 \
60,4820 \
61,4772 \
62,4802 \
63,4806 \
64,4810 \
65,4826 \
66,4836 \
67,4823 \
68,4834 \
69,4850 \
70,4842 \
71,4857 \
72,4870 \
73,4874 \
74,4900 \
75,5056 \
76,5012 \
77,5004 \
78,5002 \
79,4947 \
80,4934 \
81,4915 \
82,4940 \
83,4944 \
84,4948 \
85,4959 \
86,4966 \
87,4978 \
88,4992 \
89,5149 \
90,5138 \
91,5126 \
92,5154 \
93,5158 \
94,5159 \
95,5161 \
96,5174
