Number of Records,Index Type,Query Time (s),EXPLAIN Plan
1000,No Index,440.4263496398926,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.27..8.28 rows=1 width=1548) (actual time=0.017..0.019 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'apcbeerucz@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.022 ms',), ('Execution Time: 0.031 ms',)]"
1000,BTREE,454.9446105957031,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.28..8.29 rows=1 width=1548) (actual time=0.006..0.009 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'apcbeerucz@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.019 ms',), ('Execution Time: 0.019 ms',)]"
1000,HASH,691.859245300293,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.28..8.29 rows=1 width=1548) (actual time=0.007..0.010 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'apcbeerucz@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.023 ms',), ('Execution Time: 0.021 ms',)]"
2000,No Index,790.3456687927246,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.27..8.28 rows=1 width=1548) (actual time=0.007..0.011 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'dxmaqribvi@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.021 ms',), ('Execution Time: 0.022 ms',)]"
2000,BTREE,468.28174591064453,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.28..8.29 rows=1 width=1548) (actual time=0.006..0.009 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'dxmaqribvi@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.018 ms',), ('Execution Time: 0.020 ms',)]"
2000,HASH,621.3274002075195,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.28..8.29 rows=1 width=1548) (actual time=0.007..0.010 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'dxmaqribvi@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.019 ms',), ('Execution Time: 0.020 ms',)]"
3000,No Index,767.9667472839355,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.28..8.30 rows=1 width=35) (actual time=0.019..0.023 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'etsywwlavp@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.067 ms',), ('Execution Time: 0.046 ms',)]"
3000,BTREE,494.232177734375,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.28..8.30 rows=1 width=1548) (actual time=0.016..0.020 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'etsywwlavp@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.051 ms',), ('Execution Time: 0.039 ms',)]"
3000,HASH,508.12578201293945,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.28..8.30 rows=1 width=1548) (actual time=0.016..0.021 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'etsywwlavp@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.053 ms',), ('Execution Time: 0.041 ms',)]"
4000,No Index,526.5026092529297,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.27..8.29 rows=1 width=1548) (actual time=0.008..0.011 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'qogejwcksx@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.020 ms',), ('Execution Time: 0.022 ms',)]"
4000,BTREE,460.98804473876953,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.28..8.30 rows=1 width=1548) (actual time=0.009..0.013 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'qogejwcksx@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.026 ms',), ('Execution Time: 0.025 ms',)]"
4000,HASH,572.1545219421387,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.28..8.30 rows=1 width=1548) (actual time=0.016..0.019 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'qogejwcksx@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.046 ms',), ('Execution Time: 0.037 ms',)]"
5000,No Index,778.740406036377,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.27..8.29 rows=1 width=1548) (actual time=0.008..0.010 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'gmwcxjttdk@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.021 ms',), ('Execution Time: 0.021 ms',)]"
5000,BTREE,600.527286529541,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.28..8.30 rows=1 width=1548) (actual time=0.015..0.019 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'gmwcxjttdk@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.045 ms',), ('Execution Time: 0.034 ms',)]"
5000,HASH,595.7136154174805,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.28..8.30 rows=1 width=1548) (actual time=0.010..0.013 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'gmwcxjttdk@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.030 ms',), ('Execution Time: 0.024 ms',)]"
6000,No Index,574.4309425354004,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.27..8.29 rows=1 width=1548) (actual time=0.017..0.022 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'elwtdormwa@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.048 ms',), ('Execution Time: 0.042 ms',)]"
6000,BTREE,788.0010604858398,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.28..8.30 rows=1 width=1548) (actual time=0.008..0.011 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'elwtdormwa@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.023 ms',), ('Execution Time: 0.022 ms',)]"
6000,HASH,475.3742218017578,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.28..8.30 rows=1 width=1548) (actual time=0.007..0.010 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'elwtdormwa@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.021 ms',), ('Execution Time: 0.023 ms',)]"
7000,No Index,760.5018615722656,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.27..8.29 rows=1 width=1548) (actual time=0.018..0.023 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'akgkxpcahz@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.053 ms',), ('Execution Time: 0.045 ms',)]"
7000,BTREE,582.7875137329102,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.28..8.30 rows=1 width=35) (actual time=0.011..0.014 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'akgkxpcahz@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.034 ms',), ('Execution Time: 0.028 ms',)]"
7000,HASH,526.3347625732422,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.28..8.30 rows=1 width=1548) (actual time=0.020..0.025 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'akgkxpcahz@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.059 ms',), ('Execution Time: 0.048 ms',)]"
8000,No Index,891.1609649658203,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.27..8.29 rows=1 width=1548) (actual time=0.019..0.023 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'cyqhyxyfxz@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.054 ms',), ('Execution Time: 0.045 ms',)]"
8000,BTREE,855.3309440612793,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.28..8.30 rows=1 width=1548) (actual time=0.023..0.028 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'cyqhyxyfxz@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.062 ms',), ('Execution Time: 0.054 ms',)]"
8000,HASH,474.1072654724121,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.28..8.30 rows=1 width=1548) (actual time=0.009..0.012 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'cyqhyxyfxz@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.023 ms',), ('Execution Time: 0.023 ms',)]"
9000,No Index,1035.3145599365234,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.27..8.29 rows=1 width=1548) (actual time=0.016..0.020 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'gpxhjpprjf@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.046 ms',), ('Execution Time: 0.041 ms',)]"
9000,BTREE,827.6805877685547,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.29..8.30 rows=1 width=1548) (actual time=0.006..0.009 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'gpxhjpprjf@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.018 ms',), ('Execution Time: 0.020 ms',)]"
9000,HASH,523.810863494873,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.29..8.30 rows=1 width=35) (actual time=0.008..0.011 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'gpxhjpprjf@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.023 ms',), ('Execution Time: 0.023 ms',)]"
10000,No Index,925.0168800354004,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.27..8.29 rows=1 width=1548) (actual time=0.019..0.024 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'cvmfcmtuyo@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.057 ms',), ('Execution Time: 0.046 ms',)]"
10000,BTREE,467.4057960510254,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.29..8.30 rows=1 width=1548) (actual time=0.007..0.010 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'cvmfcmtuyo@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.024 ms',), ('Execution Time: 0.022 ms',)]"
10000,HASH,670.2671051025391,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.29..8.30 rows=1 width=1548) (actual time=0.008..0.011 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'cvmfcmtuyo@example.com'::text)"",), ('  Buffers: shared hit=3',), ('Planning Time: 0.022 ms',), ('Execution Time: 0.022 ms',)]"
