Number of Records,Index Type,Query Time (s),EXPLAIN Plan
10000,No Index,4071.0196495056152,"[('Hash Join  (cost=252.60..388.55 rows=1 width=3175) (actual time=71.304..77.910 rows=2 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=354',), ('  ->  Seq Scan on task t  (cost=0.00..132.68 rows=868 width=1086) (actual time=0.005..12.774 rows=10000 loops=1)',), ('        Buffers: shared hit=124',), ('  ->  Hash  (cost=252.59..252.59 rows=1 width=2097) (actual time=51.902..51.922 rows=3 loops=1)',), ('        Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('        Buffers: shared hit=230',), ('        ->  Hash Join  (cost=99.75..252.59 rows=1 width=2097) (actual time=43.533..51.907 rows=3 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=230',), ('              ->  Seq Scan on table_app ta  (cost=0.00..150.15 rows=715 width=1040) (actual time=0.003..12.889 rows=10000 loops=1)',), ('                    Buffers: shared hit=143',), ('              ->  Hash  (cost=99.74..99.74 rows=1 width=1065) (actual time=25.848..25.860 rows=3 loops=1)',), ('                    Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                    Buffers: shared hit=87',), ('                    ->  Hash Join  (cost=8.31..99.74 rows=1 width=1065) (actual time=1.023..25.848 rows=3 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=87',), ('                          ->  Seq Scan on project p  (cost=0.00..89.88 rows=588 width=1040) (actual time=0.004..12.731 rows=10000 loops=1)',), ('                                Buffers: shared hit=84',), ('                          ->  Hash  (cost=8.30..8.30 rows=1 width=33) (actual time=0.025..0.029 rows=1 loops=1)',), ('                                Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                                Buffers: shared hit=3',), ('                                ->  Index Scan using uniq_user_app_email on user_app ua  (cost=0.29..8.30 rows=1 width=33) (actual time=0.018..0.020 rows=1 loops=1)',), (""                                      Index Cond: ((email)::text = 'icyabaldcx@example.com'::text)"",), ('                                      Buffers: shared hit=3',), ('Planning Time: 0.159 ms',), ('Execution Time: 77.944 ms',)]"
10000,BTREE,4089.7421836853027,"[('Hash Join  (cost=252.60..388.55 rows=1 width=4178) (actual time=71.902..78.501 rows=2 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=354',), ('  ->  Seq Scan on task t  (cost=0.00..132.68 rows=868 width=1086) (actual time=0.005..12.764 rows=10000 loops=1)',), ('        Buffers: shared hit=124',), ('  ->  Hash  (cost=252.59..252.59 rows=1 width=3100) (actual time=52.532..52.551 rows=3 loops=1)',), ('        Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('        Buffers: shared hit=230',), ('        ->  Hash Join  (cost=99.75..252.59 rows=1 width=3100) (actual time=44.201..52.540 rows=3 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=230',), ('              ->  Seq Scan on table_app ta  (cost=0.00..150.15 rows=715 width=1040) (actual time=0.003..13.072 rows=10000 loops=1)',), ('                    Buffers: shared hit=143',), ('              ->  Hash  (cost=99.74..99.74 rows=1 width=2068) (actual time=26.046..26.058 rows=3 loops=1)',), ('                    Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                    Buffers: shared hit=87',), ('                    ->  Hash Join  (cost=8.31..99.74 rows=1 width=2068) (actual time=1.028..26.048 rows=3 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=87',), ('                          ->  Seq Scan on project p  (cost=0.00..89.88 rows=588 width=1040) (actual time=0.003..12.848 rows=10000 loops=1)',), ('                                Buffers: shared hit=84',), ('                          ->  Hash  (cost=8.30..8.30 rows=1 width=1036) (actual time=0.020..0.024 rows=1 loops=1)',), ('                                Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                                Buffers: shared hit=3',), ('                                ->  Index Scan using uniq_user_app_email on user_app ua  (cost=0.29..8.30 rows=1 width=1036) (actual time=0.012..0.015 rows=1 loops=1)',), (""                                      Index Cond: ((email)::text = 'icyabaldcx@example.com'::text)"",), ('                                      Buffers: shared hit=3',), ('Planning Time: 0.151 ms',), ('Execution Time: 78.529 ms',)]"
10000,HASH,4064.6610260009766,"[('Hash Join  (cost=252.60..388.55 rows=1 width=4178) (actual time=71.286..77.833 rows=2 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=354',), ('  ->  Seq Scan on task t  (cost=0.00..132.68 rows=868 width=1086) (actual time=0.006..12.747 rows=10000 loops=1)',), ('        Buffers: shared hit=124',), ('  ->  Hash  (cost=252.59..252.59 rows=1 width=3100) (actual time=51.832..51.851 rows=3 loops=1)',), ('        Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('        Buffers: shared hit=230',), ('        ->  Hash Join  (cost=99.75..252.59 rows=1 width=3100) (actual time=43.503..51.838 rows=3 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=230',), ('              ->  Seq Scan on table_app ta  (cost=0.00..150.15 rows=715 width=1040) (actual time=0.003..12.891 rows=10000 loops=1)',), ('                    Buffers: shared hit=143',), ('              ->  Hash  (cost=99.74..99.74 rows=1 width=2068) (actual time=25.835..25.847 rows=3 loops=1)',), ('                    Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                    Buffers: shared hit=87',), ('                    ->  Hash Join  (cost=8.31..99.74 rows=1 width=2068) (actual time=1.005..25.835 rows=3 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=87',), ('                          ->  Seq Scan on project p  (cost=0.00..89.88 rows=588 width=1040) (actual time=0.004..12.723 rows=10000 loops=1)',), ('                                Buffers: shared hit=84',), ('                          ->  Hash  (cost=8.30..8.30 rows=1 width=1036) (actual time=0.028..0.032 rows=1 loops=1)',), ('                                Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                                Buffers: shared hit=3',), ('                                ->  Index Scan using uniq_user_app_email on user_app ua  (cost=0.29..8.30 rows=1 width=1036) (actual time=0.013..0.017 rows=1 loops=1)',), (""                                      Index Cond: ((email)::text = 'icyabaldcx@example.com'::text)"",), ('                                      Buffers: shared hit=3',), ('Planning Time: 0.146 ms',), ('Execution Time: 77.860 ms',)]"
20000,No Index,4862.856864929199,"[('Hash Join  (cost=495.82..766.61 rows=2 width=4178) (actual time=102.438..102.464 rows=0 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=457',), ('  ->  Seq Scan on task t  (cost=0.00..264.29 rows=1729 width=1086) (actual time=0.007..0.009 rows=1 loops=1)',), ('        Buffers: shared hit=1',), ('  ->  Hash  (cost=495.79..495.79 rows=2 width=3100) (actual time=102.425..102.445 rows=0 loops=1)',), ('        Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('        Buffers: shared hit=456',), ('        ->  Hash Join  (cost=190.11..495.79 rows=2 width=3100) (actual time=102.421..102.439 rows=0 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=456',), ('              ->  Seq Scan on table_app ta  (cost=0.00..300.30 rows=1430 width=1040) (actual time=0.004..25.456 rows=20000 loops=1)',), ('                    Buffers: shared hit=286',), ('              ->  Hash  (cost=190.09..190.09 rows=2 width=2068) (actual time=51.167..51.179 rows=1 loops=1)',), ('                    Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                    Buffers: shared hit=170',), ('                    ->  Hash Join  (cost=8.30..190.09 rows=2 width=2068) (actual time=42.277..51.170 rows=1 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=170',), ('                          ->  Seq Scan on project p  (cost=0.00..178.69 rows=1169 width=1040) (actual time=0.003..25.478 rows=20000 loops=1)',), ('                                Buffers: shared hit=167',), ('                          ->  Hash  (cost=8.29..8.29 rows=1 width=1036) (actual time=0.023..0.028 rows=1 loops=1)',), ('                                Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                                Buffers: shared hit=3',), ('                                ->  Index Scan using uniq_user_app_email on user_app ua  (cost=0.28..8.29 rows=1 width=1036) (actual time=0.015..0.018 rows=1 loops=1)',), (""                                      Index Cond: ((email)::text = 'cmffjfvgcs@example.com'::text)"",), ('                                      Buffers: shared hit=3',), ('Planning Time: 0.157 ms',), ('Execution Time: 102.495 ms',)]"
20000,BTREE,4813.272476196289,"[('Hash Join  (cost=495.77..766.56 rows=1 width=3175) (actual time=107.009..107.035 rows=0 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=457',), ('  ->  Seq Scan on task t  (cost=0.00..264.29 rows=1729 width=1086) (actual time=0.006..0.007 rows=1 loops=1)',), ('        Buffers: shared hit=1',), ('  ->  Hash  (cost=495.76..495.76 rows=1 width=2097) (actual time=106.996..107.017 rows=0 loops=1)',), ('        Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('        Buffers: shared hit=456',), ('        ->  Hash Join  (cost=190.09..495.76 rows=1 width=2097) (actual time=106.993..107.012 rows=0 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=456',), ('              ->  Seq Scan on table_app ta  (cost=0.00..300.30 rows=1430 width=1040) (actual time=0.003..25.839 rows=20000 loops=1)',), ('                    Buffers: shared hit=286',), ('              ->  Hash  (cost=190.08..190.08 rows=1 width=1065) (actual time=54.792..54.805 rows=1 loops=1)',), ('                    Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                    Buffers: shared hit=170',), ('                    ->  Hash Join  (cost=8.32..190.08 rows=1 width=1065) (actual time=45.715..54.797 rows=1 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=170',), ('                          ->  Seq Scan on project p  (cost=0.00..178.69 rows=1169 width=1040) (actual time=0.003..25.560 rows=20000 loops=1)',), ('                                Buffers: shared hit=167',), ('                          ->  Hash  (cost=8.30..8.30 rows=1 width=33) (actual time=0.021..0.027 rows=1 loops=1)',), ('                                Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                                Buffers: shared hit=3',), ('                                ->  Index Scan using uniq_user_app_email on user_app ua  (cost=0.29..8.30 rows=1 width=33) (actual time=0.014..0.018 rows=1 loops=1)',), (""                                      Index Cond: ((email)::text = 'cmffjfvgcs@example.com'::text)"",), ('                                      Buffers: shared hit=3',), ('Planning Time: 0.154 ms',), ('Execution Time: 107.063 ms',)]"
20000,HASH,4750.761032104492,"[('Hash Join  (cost=495.77..766.56 rows=1 width=4178) (actual time=104.262..104.289 rows=0 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=457',), ('  ->  Seq Scan on task t  (cost=0.00..264.29 rows=1729 width=1086) (actual time=0.005..0.007 rows=1 loops=1)',), ('        Buffers: shared hit=1',), ('  ->  Hash  (cost=495.76..495.76 rows=1 width=3100) (actual time=104.249..104.270 rows=0 loops=1)',), ('        Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('        Buffers: shared hit=456',), ('        ->  Hash Join  (cost=190.09..495.76 rows=1 width=3100) (actual time=104.247..104.264 rows=0 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=456',), ('              ->  Seq Scan on table_app ta  (cost=0.00..300.30 rows=1430 width=1040) (actual time=0.004..25.710 rows=20000 loops=1)',), ('                    Buffers: shared hit=286',), ('              ->  Hash  (cost=190.08..190.08 rows=1 width=2068) (actual time=52.334..52.347 rows=1 loops=1)',), ('                    Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                    Buffers: shared hit=170',), ('                    ->  Hash Join  (cost=8.32..190.08 rows=1 width=2068) (actual time=43.231..52.330 rows=1 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=170',), ('                          ->  Seq Scan on project p  (cost=0.00..178.69 rows=1169 width=1040) (actual time=0.004..25.802 rows=20000 loops=1)',), ('                                Buffers: shared hit=167',), ('                          ->  Hash  (cost=8.30..8.30 rows=1 width=1036) (actual time=0.022..0.026 rows=1 loops=1)',), ('                                Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                                Buffers: shared hit=3',), ('                                ->  Index Scan using uniq_user_app_email on user_app ua  (cost=0.29..8.30 rows=1 width=1036) (actual time=0.014..0.018 rows=1 loops=1)',), (""                                      Index Cond: ((email)::text = 'cmffjfvgcs@example.com'::text)"",), ('                                      Buffers: shared hit=3',), ('Planning Time: 0.155 ms',), ('Execution Time: 104.317 ms',)]"
30000,No Index,9799.90291595459,"[('Hash Join  (cost=1095.61..1502.33 rows=1 width=2175) (actual time=170.720..233.159 rows=3 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=1053',), ('  ->  Seq Scan on task t  (cost=0.00..396.97 rows=2597 width=1086) (actual time=0.005..38.344 rows=30000 loops=1)',), ('        Buffers: shared hit=371',), ('  ->  Hash  (cost=1095.59..1095.59 rows=1 width=1097) (actual time=155.096..155.117 rows=3 loops=1)',), ('        Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('        Buffers: shared hit=682',), ('        ->  Hash Join  (cost=637.09..1095.59 rows=1 width=1097) (actual time=118.986..155.096 rows=3 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=682',), ('              ->  Seq Scan on table_app ta  (cost=0.00..450.45 rows=2145 width=1040) (actual time=0.004..38.672 rows=30000 loops=1)',), ('                    Buffers: shared hit=429',), ('              ->  Hash  (cost=637.08..637.08 rows=1 width=65) (actual time=77.128..77.142 rows=1 loops=1)',), ('                    Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                    Buffers: shared hit=253',), ('                    ->  Hash Join  (cost=8.32..637.08 rows=1 width=65) (actual time=29.193..77.123 rows=1 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=253',), ('                          ->  Seq Scan on project p  (cost=0.00..550.00 rows=30000 width=40) (actual time=0.003..37.972 rows=30000 loops=1)',), ('                                Buffers: shared hit=250',), ('                          ->  Hash  (cost=8.30..8.30 rows=1 width=33) (actual time=0.018..0.023 rows=1 loops=1)',), ('                                Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                                Buffers: shared hit=3',), ('                                ->  Index Scan using uniq_user_app_email on user_app ua  (cost=0.29..8.30 rows=1 width=33) (actual time=0.011..0.014 rows=1 loops=1)',), (""                                      Index Cond: ((email)::text = 'bthnwqxsyv@example.com'::text)"",), ('                                      Buffers: shared hit=3',), ('Planning:',), ('  Buffers: shared hit=12',), ('Planning Time: 0.217 ms',), ('Execution Time: 233.192 ms',)]"
30000,BTREE,9896.344661712646,"[('Hash Join  (cost=738.94..1145.66 rows=1 width=4178) (actual time=170.813..233.228 rows=3 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=1053',), ('  ->  Seq Scan on task t  (cost=0.00..396.97 rows=2597 width=1086) (actual time=0.006..38.386 rows=30000 loops=1)',), ('        Buffers: shared hit=371',), ('  ->  Hash  (cost=738.93..738.93 rows=1 width=3100) (actual time=155.321..155.343 rows=3 loops=1)',), ('        Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('        Buffers: shared hit=682',), ('        ->  Hash Join  (cost=280.42..738.93 rows=1 width=3100) (actual time=119.109..155.326 rows=3 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=682',), ('              ->  Seq Scan on table_app ta  (cost=0.00..450.45 rows=2145 width=1040) (actual time=0.004..38.688 rows=30000 loops=1)',), ('                    Buffers: shared hit=429',), ('              ->  Hash  (cost=280.41..280.41 rows=1 width=2068) (actual time=77.268..77.281 rows=1 loops=1)',), ('                    Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                    Buffers: shared hit=253',), ('                    ->  Hash Join  (cost=8.32..280.41 rows=1 width=2068) (actual time=29.280..77.274 rows=1 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=253',), ('                          ->  Seq Scan on project p  (cost=0.00..267.50 rows=1750 width=1040) (actual time=0.003..38.165 rows=30000 loops=1)',), ('                                Buffers: shared hit=250',), ('                          ->  Hash  (cost=8.30..8.30 rows=1 width=1036) (actual time=0.033..0.038 rows=1 loops=1)',), ('                                Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                                Buffers: shared hit=3',), ('                                ->  Index Scan using uniq_user_app_email on user_app ua  (cost=0.29..8.30 rows=1 width=1036) (actual time=0.014..0.018 rows=1 loops=1)',), (""                                      Index Cond: ((email)::text = 'bthnwqxsyv@example.com'::text)"",), ('                                      Buffers: shared hit=3',), ('Planning Time: 0.157 ms',), ('Execution Time: 233.261 ms',)]"
30000,HASH,9897.403240203857,"[('Hash Join  (cost=738.94..1145.66 rows=1 width=3175) (actual time=170.163..233.100 rows=3 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=1053',), ('  ->  Seq Scan on task t  (cost=0.00..396.97 rows=2597 width=1086) (actual time=0.008..38.586 rows=30000 loops=1)',), ('        Buffers: shared hit=371',), ('  ->  Hash  (cost=738.93..738.93 rows=1 width=2097) (actual time=154.725..154.747 rows=3 loops=1)',), ('        Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('        Buffers: shared hit=682',), ('        ->  Hash Join  (cost=280.42..738.93 rows=1 width=2097) (actual time=118.781..154.728 rows=3 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=682',), ('              ->  Seq Scan on table_app ta  (cost=0.00..450.45 rows=2145 width=1040) (actual time=0.009..38.562 rows=30000 loops=1)',), ('                    Buffers: shared hit=429',), ('              ->  Hash  (cost=280.41..280.41 rows=1 width=1065) (actual time=77.068..77.082 rows=1 loops=1)',), ('                    Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                    Buffers: shared hit=253',), ('                    ->  Hash Join  (cost=8.32..280.41 rows=1 width=1065) (actual time=29.204..77.067 rows=1 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=253',), ('                          ->  Seq Scan on project p  (cost=0.00..267.50 rows=1750 width=1040) (actual time=0.003..37.992 rows=30000 loops=1)',), ('                                Buffers: shared hit=250',), ('                          ->  Hash  (cost=8.30..8.30 rows=1 width=33) (actual time=0.038..0.043 rows=1 loops=1)',), ('                                Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                                Buffers: shared hit=3',), ('                                ->  Index Scan using uniq_user_app_email on user_app ua  (cost=0.29..8.30 rows=1 width=33) (actual time=0.029..0.032 rows=1 loops=1)',), (""                                      Index Cond: ((email)::text = 'bthnwqxsyv@example.com'::text)"",), ('                                      Buffers: shared hit=3',), ('Planning Time: 0.158 ms',), ('Execution Time: 233.136 ms',)]"
40000,No Index,12048.5520362854,"[('Hash Join  (cost=1969.49..2511.05 rows=1 width=1210) (actual time=273.741..309.905 rows=2 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=1404',), ('  ->  Seq Scan on task t  (cost=0.00..528.58 rows=3458 width=1086) (actual time=0.006..51.189 rows=40000 loops=1)',), ('        Buffers: shared hit=494',), ('  ->  Hash  (cost=1969.48..1969.48 rows=1 width=132) (actual time=205.787..205.809 rows=3 loops=1)',), ('        Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('        Buffers: shared hit=910',), ('        ->  Hash Join  (cost=847.47..1969.48 rows=1 width=132) (actual time=112.101..205.790 rows=3 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=910',), ('              ->  Seq Scan on table_app ta  (cost=0.00..972.00 rows=40000 width=75) (actual time=0.003..50.741 rows=40000 loops=1)',), ('                    Buffers: shared hit=572',), ('              ->  Hash  (cost=847.46..847.46 rows=1 width=65) (actual time=102.671..102.685 rows=2 loops=1)',), ('                    Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                    Buffers: shared hit=338',), ('                    ->  Hash Join  (cost=8.44..847.46 rows=1 width=65) (actual time=63.665..102.663 rows=2 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=338',), ('                          ->  Seq Scan on project p  (cost=0.00..734.00 rows=40000 width=40) (actual time=0.003..50.455 rows=40000 loops=1)',), ('                                Buffers: shared hit=334',), ('                          ->  Hash  (cost=8.43..8.43 rows=1 width=33) (actual time=0.019..0.025 rows=1 loops=1)',), ('                                Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                                Buffers: shared hit=4',), ('                                ->  Index Scan using uniq_user_app_email on user_app ua  (cost=0.41..8.43 rows=1 width=33) (actual time=0.011..0.014 rows=1 loops=1)',), (""                                      Index Cond: ((email)::text = 'ochdbqeddc@example.com'::text)"",), ('                                      Buffers: shared hit=4',), ('Planning:',), ('  Buffers: shared hit=24',), ('Planning Time: 0.240 ms',), ('Execution Time: 309.937 ms',)]"
