Number of Records,Index Type,Query Time (s),EXPLAIN Plan
1000,No Index,923.163890838623,"[('Nested Loop  (cost=27.12..49.41 rows=1 width=4178) (actual time=2.943..5.486 rows=5 loops=1)',), ('  Buffers: shared hit=52',), ('  ->  Hash Join  (cost=26.86..41.12 rows=1 width=3150) (actual time=2.929..5.426 rows=5 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=37',), ('        ->  Seq Scan on task t  (cost=0.00..13.91 rows=91 width=1086) (actual time=0.005..1.308 rows=1000 loops=1)',), ('              Buffers: shared hit=13',), ('        ->  Hash  (cost=26.85..26.85 rows=1 width=2072) (actual time=2.730..2.742 rows=3 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=24',), ('              ->  Hash Join  (cost=10.89..26.85 rows=1 width=2072) (actual time=0.786..2.723 rows=3 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=24',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..15.75 rows=75 width=1040) (actual time=0.003..1.281 rows=1000 loops=1)',), ('                          Buffers: shared hit=15',), ('                    ->  Hash  (cost=10.88..10.88 rows=1 width=1040) (actual time=0.080..0.084 rows=2 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=9',), ('                          ->  Seq Scan on project p  (cost=0.00..10.88 rows=1 width=1040) (actual time=0.042..0.073 rows=2 loops=1)',), ('                                Filter: (user_id = 1)',), ('                                Rows Removed by Filter: 998',), ('                                Buffers: shared hit=9',), ('  ->  Index Scan using user_app_pkey on user_app ua  (cost=0.27..8.28 rows=1 width=1036) (actual time=0.004..0.005 rows=1 loops=5)',), ('        Index Cond: (id_user = 1)',), ('        Buffers: shared hit=15',), ('Planning Time: 0.096 ms',), ('Execution Time: 5.523 ms',)]"
1000,BTREE,1152.9922485351562,"[('Nested Loop  (cost=27.13..49.42 rows=1 width=4178) (actual time=2.950..5.495 rows=5 loops=1)',), ('  Buffers: shared hit=52',), ('  ->  Hash Join  (cost=26.86..41.12 rows=1 width=3150) (actual time=2.934..5.433 rows=5 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=37',), ('        ->  Seq Scan on task t  (cost=0.00..13.91 rows=91 width=1086) (actual time=0.004..1.322 rows=1000 loops=1)',), ('              Buffers: shared hit=13',), ('        ->  Hash  (cost=26.85..26.85 rows=1 width=2072) (actual time=2.750..2.762 rows=3 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=24',), ('              ->  Hash Join  (cost=10.89..26.85 rows=1 width=2072) (actual time=0.751..2.751 rows=3 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=24',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..15.75 rows=75 width=1040) (actual time=0.003..1.297 rows=1000 loops=1)',), ('                          Buffers: shared hit=15',), ('                    ->  Hash  (cost=10.88..10.88 rows=1 width=1040) (actual time=0.082..0.087 rows=2 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=9',), ('                          ->  Seq Scan on project p  (cost=0.00..10.88 rows=1 width=1040) (actual time=0.041..0.071 rows=2 loops=1)',), ('                                Filter: (user_id = 1)',), ('                                Rows Removed by Filter: 998',), ('                                Buffers: shared hit=9',), ('  ->  Index Scan using idx_user_id_btree on user_app ua  (cost=0.28..8.29 rows=1 width=1036) (actual time=0.004..0.006 rows=1 loops=5)',), ('        Index Cond: (id_user = 1)',), ('        Buffers: shared hit=15',), ('Planning Time: 0.099 ms',), ('Execution Time: 5.525 ms',)]"
1000,HASH,2314.574718475342,"[('Nested Loop  (cost=26.86..49.15 rows=1 width=4178) (actual time=4.530..8.438 rows=5 loops=1)',), ('  Buffers: shared hit=47',), ('  ->  Hash Join  (cost=26.86..41.12 rows=1 width=3150) (actual time=4.513..8.352 rows=5 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=37',), ('        ->  Seq Scan on task t  (cost=0.00..13.91 rows=91 width=1086) (actual time=0.011..2.000 rows=1000 loops=1)',), ('              Buffers: shared hit=13',), ('        ->  Hash  (cost=26.85..26.85 rows=1 width=2072) (actual time=4.210..4.227 rows=3 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=24',), ('              ->  Hash Join  (cost=10.89..26.85 rows=1 width=2072) (actual time=1.253..4.206 rows=3 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=24',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..15.75 rows=75 width=1040) (actual time=0.006..1.957 rows=1000 loops=1)',), ('                          Buffers: shared hit=15',), ('                    ->  Hash  (cost=10.88..10.88 rows=1 width=1040) (actual time=0.208..0.214 rows=2 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=9',), ('                          ->  Seq Scan on project p  (cost=0.00..10.88 rows=1 width=1040) (actual time=0.117..0.199 rows=2 loops=1)',), ('                                Filter: (user_id = 1)',), ('                                Rows Removed by Filter: 998',), ('                                Buffers: shared hit=9',), ('  ->  Index Scan using idx_user_id_hash on user_app ua  (cost=0.00..8.02 rows=1 width=1036) (actual time=0.004..0.007 rows=1 loops=5)',), ('        Index Cond: (id_user = 1)',), ('        Buffers: shared hit=10',), ('Planning Time: 0.281 ms',), ('Execution Time: 8.498 ms',)]"
2000,No Index,1124.4392395019531,"[('Nested Loop  (cost=49.62..85.06 rows=1 width=4178) (actual time=5.491..10.656 rows=4 loops=1)',), ('  Buffers: shared hit=83',), ('  ->  Hash Join  (cost=49.35..76.77 rows=1 width=3150) (actual time=5.464..10.592 rows=4 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=71',), ('        ->  Seq Scan on task t  (cost=0.00..26.75 rows=175 width=1086) (actual time=0.005..2.558 rows=2000 loops=1)',), ('              Buffers: shared hit=25',), ('        ->  Hash  (cost=49.34..49.34 rows=1 width=2072) (actual time=5.343..5.355 rows=4 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=46',), ('              ->  Hash Join  (cost=18.50..49.34 rows=1 width=2072) (actual time=1.796..5.334 rows=4 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=46',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..30.45 rows=145 width=1040) (actual time=0.003..2.575 rows=2000 loops=1)',), ('                          Buffers: shared hit=29',), ('                    ->  Hash  (cost=18.49..18.49 rows=1 width=1040) (actual time=0.146..0.150 rows=1 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=17',), ('                          ->  Seq Scan on project p  (cost=0.00..18.49 rows=1 width=1040) (actual time=0.125..0.142 rows=1 loops=1)',), ('                                Filter: (user_id = 3)',), ('                                Rows Removed by Filter: 1999',), ('                                Buffers: shared hit=17',), ('  ->  Index Scan using user_app_pkey on user_app ua  (cost=0.27..8.28 rows=1 width=1036) (actual time=0.007..0.009 rows=1 loops=4)',), ('        Index Cond: (id_user = 3)',), ('        Buffers: shared hit=12',), ('Planning Time: 0.100 ms',), ('Execution Time: 10.681 ms',)]"
2000,BTREE,1670.525074005127,"[('Nested Loop  (cost=49.63..85.08 rows=1 width=4178) (actual time=5.551..10.697 rows=4 loops=1)',), ('  Buffers: shared hit=83',), ('  ->  Hash Join  (cost=49.35..76.77 rows=1 width=3150) (actual time=5.536..10.644 rows=4 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=71',), ('        ->  Seq Scan on task t  (cost=0.00..26.75 rows=175 width=1086) (actual time=0.004..2.535 rows=2000 loops=1)',), ('              Buffers: shared hit=25',), ('        ->  Hash  (cost=49.34..49.34 rows=1 width=2072) (actual time=5.406..5.418 rows=4 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=46',), ('              ->  Hash Join  (cost=18.50..49.34 rows=1 width=2072) (actual time=1.823..5.402 rows=4 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=46',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..30.45 rows=145 width=1040) (actual time=0.003..2.598 rows=2000 loops=1)',), ('                          Buffers: shared hit=29',), ('                    ->  Hash  (cost=18.49..18.49 rows=1 width=1040) (actual time=0.156..0.161 rows=1 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=17',), ('                          ->  Seq Scan on project p  (cost=0.00..18.49 rows=1 width=1040) (actual time=0.128..0.146 rows=1 loops=1)',), ('                                Filter: (user_id = 3)',), ('                                Rows Removed by Filter: 1999',), ('                                Buffers: shared hit=17',), ('  ->  Index Scan using idx_user_id_btree on user_app ua  (cost=0.28..8.29 rows=1 width=1036) (actual time=0.004..0.006 rows=1 loops=4)',), ('        Index Cond: (id_user = 3)',), ('        Buffers: shared hit=12',), ('Planning Time: 0.121 ms',), ('Execution Time: 10.724 ms',)]"
2000,HASH,1472.7282524108887,"[('Nested Loop  (cost=49.35..84.80 rows=1 width=4178) (actual time=5.530..10.760 rows=4 loops=1)',), ('  Buffers: shared hit=83',), ('  ->  Hash Join  (cost=49.35..76.77 rows=1 width=3150) (actual time=5.520..10.713 rows=4 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=71',), ('        ->  Seq Scan on task t  (cost=0.00..26.75 rows=175 width=1086) (actual time=0.004..2.606 rows=2000 loops=1)',), ('              Buffers: shared hit=25',), ('        ->  Hash  (cost=49.34..49.34 rows=1 width=2072) (actual time=5.396..5.409 rows=4 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=46',), ('              ->  Hash Join  (cost=18.50..49.34 rows=1 width=2072) (actual time=1.840..5.395 rows=4 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=46',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..30.45 rows=145 width=1040) (actual time=0.003..2.575 rows=2000 loops=1)',), ('                          Buffers: shared hit=29',), ('                    ->  Hash  (cost=18.49..18.49 rows=1 width=1040) (actual time=0.155..0.159 rows=1 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=17',), ('                          ->  Seq Scan on project p  (cost=0.00..18.49 rows=1 width=1040) (actual time=0.123..0.139 rows=1 loops=1)',), ('                                Filter: (user_id = 3)',), ('                                Rows Removed by Filter: 1999',), ('                                Buffers: shared hit=17',), ('  ->  Index Scan using idx_user_id_hash on user_app ua  (cost=0.00..8.02 rows=1 width=1036) (actual time=0.002..0.005 rows=1 loops=4)',), ('        Index Cond: (id_user = 3)',), ('        Buffers: shared hit=12',), ('Planning Time: 0.109 ms',), ('Execution Time: 10.791 ms',)]"
3000,No Index,1473.55318069458,"[('Nested Loop  (cost=73.21..122.90 rows=1 width=4178) (actual time=8.859..15.990 rows=5 loops=1)',), ('  Buffers: shared hit=121',), ('  ->  Hash Join  (cost=72.94..114.61 rows=1 width=3150) (actual time=8.843..15.929 rows=5 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=106',), ('        ->  Seq Scan on task t  (cost=0.00..40.66 rows=266 width=1086) (actual time=0.004..3.837 rows=3000 loops=1)',), ('              Buffers: shared hit=38',), ('        ->  Hash  (cost=72.93..72.93 rows=1 width=2072) (actual time=8.083..8.095 rows=5 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=68',), ('              ->  Hash Join  (cost=27.20..72.93 rows=1 width=2072) (actual time=1.700..8.079 rows=5 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=68',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..45.15 rows=215 width=1040) (actual time=0.003..3.892 rows=3000 loops=1)',), ('                          Buffers: shared hit=43',), ('                    ->  Hash  (cost=27.19..27.19 rows=1 width=1040) (actual time=0.218..0.222 rows=3 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=25',), ('                          ->  Seq Scan on project p  (cost=0.00..27.19 rows=1 width=1040) (actual time=0.024..0.204 rows=3 loops=1)',), ('                                Filter: (user_id = 2)',), ('                                Rows Removed by Filter: 2997',), ('                                Buffers: shared hit=25',), ('  ->  Index Scan using user_app_pkey on user_app ua  (cost=0.27..8.29 rows=1 width=1036) (actual time=0.004..0.006 rows=1 loops=5)',), ('        Index Cond: (id_user = 2)',), ('        Buffers: shared hit=15',), ('Planning Time: 0.111 ms',), ('Execution Time: 16.024 ms',)]"
3000,BTREE,1775.2718925476074,"[('Nested Loop  (cost=73.22..122.91 rows=1 width=4178) (actual time=8.828..16.000 rows=5 loops=1)',), ('  Buffers: shared hit=121',), ('  ->  Hash Join  (cost=72.94..114.61 rows=1 width=3150) (actual time=8.812..15.937 rows=5 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=106',), ('        ->  Seq Scan on task t  (cost=0.00..40.66 rows=266 width=1086) (actual time=0.004..3.867 rows=3000 loops=1)',), ('              Buffers: shared hit=38',), ('        ->  Hash  (cost=72.93..72.93 rows=1 width=2072) (actual time=8.051..8.062 rows=5 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=68',), ('              ->  Hash Join  (cost=27.20..72.93 rows=1 width=2072) (actual time=1.646..8.048 rows=5 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=68',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..45.15 rows=215 width=1040) (actual time=0.003..3.861 rows=3000 loops=1)',), ('                          Buffers: shared hit=43',), ('                    ->  Hash  (cost=27.19..27.19 rows=1 width=1040) (actual time=0.223..0.227 rows=3 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=25',), ('                          ->  Seq Scan on project p  (cost=0.00..27.19 rows=1 width=1040) (actual time=0.025..0.209 rows=3 loops=1)',), ('                                Filter: (user_id = 2)',), ('                                Rows Removed by Filter: 2997',), ('                                Buffers: shared hit=25',), ('  ->  Index Scan using idx_user_id_btree on user_app ua  (cost=0.28..8.30 rows=1 width=1036) (actual time=0.004..0.006 rows=1 loops=5)',), ('        Index Cond: (id_user = 2)',), ('        Buffers: shared hit=15',), ('Planning Time: 0.113 ms',), ('Execution Time: 16.026 ms',)]"
3000,HASH,1774.7926712036133,"[('Nested Loop  (cost=72.94..122.63 rows=1 width=4178) (actual time=9.198..16.435 rows=5 loops=1)',), ('  Buffers: shared hit=116',), ('  ->  Hash Join  (cost=72.94..114.61 rows=1 width=3150) (actual time=9.184..16.370 rows=5 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=106',), ('        ->  Seq Scan on task t  (cost=0.00..40.66 rows=266 width=1086) (actual time=0.004..3.895 rows=3000 loops=1)',), ('              Buffers: shared hit=38',), ('        ->  Hash  (cost=72.93..72.93 rows=1 width=2072) (actual time=8.383..8.397 rows=5 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=68',), ('              ->  Hash Join  (cost=27.20..72.93 rows=1 width=2072) (actual time=1.626..8.374 rows=5 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=68',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..45.15 rows=215 width=1040) (actual time=0.003..4.014 rows=3000 loops=1)',), ('                          Buffers: shared hit=43',), ('                    ->  Hash  (cost=27.19..27.19 rows=1 width=1040) (actual time=0.225..0.230 rows=3 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=25',), ('                          ->  Seq Scan on project p  (cost=0.00..27.19 rows=1 width=1040) (actual time=0.025..0.212 rows=3 loops=1)',), ('                                Filter: (user_id = 2)',), ('                                Rows Removed by Filter: 2997',), ('                                Buffers: shared hit=25',), ('  ->  Index Scan using idx_user_id_hash on user_app ua  (cost=0.00..8.02 rows=1 width=1036) (actual time=0.004..0.005 rows=1 loops=5)',), ('        Index Cond: (id_user = 2)',), ('        Buffers: shared hit=10',), ('Planning Time: 0.125 ms',), ('Execution Time: 16.467 ms',)]"
4000,No Index,2438.9123916625977,"[('Nested Loop  (cost=98.94..161.79 rows=1 width=4178) (actual time=13.658..21.163 rows=4 loops=1)',), ('  Buffers: shared hit=154',), ('  ->  Hash Join  (cost=98.67..153.49 rows=1 width=3150) (actual time=13.633..21.099 rows=4 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=142',), ('        ->  Seq Scan on task t  (cost=0.00..53.50 rows=350 width=1086) (actual time=0.003..5.078 rows=4000 loops=1)',), ('              Buffers: shared hit=50',), ('        ->  Hash  (cost=98.66..98.66 rows=1 width=2072) (actual time=10.725..10.737 rows=6 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=92',), ('              ->  Hash Join  (cost=36.99..98.66 rows=1 width=2072) (actual time=2.239..10.715 rows=6 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=92',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..60.90 rows=290 width=1040) (actual time=0.003..5.161 rows=4000 loops=1)',), ('                          Buffers: shared hit=58',), ('                    ->  Hash  (cost=36.98..36.98 rows=1 width=1040) (actual time=0.281..0.285 rows=3 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=34',), ('                          ->  Seq Scan on project p  (cost=0.00..36.98 rows=1 width=1040) (actual time=0.122..0.274 rows=3 loops=1)',), ('                                Filter: (user_id = 1)',), ('                                Rows Removed by Filter: 3997',), ('                                Buffers: shared hit=34',), ('  ->  Index Scan using user_app_pkey on user_app ua  (cost=0.27..8.29 rows=1 width=1036) (actual time=0.007..0.008 rows=1 loops=4)',), ('        Index Cond: (id_user = 1)',), ('        Buffers: shared hit=12',), ('Planning Time: 0.113 ms',), ('Execution Time: 21.192 ms',)]"
