Number of Records,Index Type,Query Time (s),EXPLAIN Plan
1000,No Index,2755.125045776367,"[('Hash Join  (cost=39.31..53.81 rows=30 width=4178) (actual time=21.951..26.042 rows=1000 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=48',), ('  ->  Seq Scan on task t  (cost=0.00..13.91 rows=91 width=1086) (actual time=0.011..1.335 rows=1000 loops=1)',), ('        Buffers: shared hit=13',), ('  ->  Hash  (cost=38.99..38.99 rows=25 width=3100) (actual time=21.900..21.920 rows=999 loops=1)',), ('        Buckets: 1024  Batches: 1  Memory Usage: 168kB',), ('        Buffers: shared hit=35',), ('        ->  Hash Join  (cost=22.73..38.99 rows=25 width=3100) (actual time=13.241..19.346 rows=999 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=35',), ('              ->  Seq Scan on table_app ta  (cost=0.00..15.75 rows=75 width=1040) (actual time=0.007..1.916 rows=1000 loops=1)',), ('                    Buffers: shared hit=15',), ('              ->  Hash  (cost=22.44..22.44 rows=23 width=2068) (actual time=13.207..13.220 rows=999 loops=1)',), ('                    Buckets: 1024  Batches: 1  Memory Usage: 106kB',), ('                    Buffers: shared hit=20',), ('                    ->  Hash Join  (cost=11.55..22.44 rows=23 width=2068) (actual time=4.355..10.747 rows=999 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=20',), ('                          ->  Seq Scan on project p  (cost=0.00..10.70 rows=70 width=1040) (actual time=0.007..2.068 rows=1000 loops=1)',), ('                                Buffers: shared hit=9',), ('                          ->  Hash  (cost=11.41..11.41 rows=11 width=1036) (actual time=4.329..4.333 rows=999 loops=1)',), ('                                Buckets: 1024  Batches: 1  Memory Usage: 75kB',), ('                                Buffers: shared hit=11',), ('                                ->  Seq Scan on user_app ua  (cost=0.00..11.41 rows=11 width=1036) (actual time=0.014..2.182 rows=999 loops=1)',), ('                                      Filter: (id_user > 1)',), ('                                      Rows Removed by Filter: 1',), ('                                      Buffers: shared hit=11',), ('Planning Time: 0.326 ms',), ('Execution Time: 27.413 ms',)]"
1000,BTREE,2968.9159393310547,"[('Hash Join  (cost=43.81..68.86 rows=30 width=4178) (actual time=13.643..17.650 rows=1000 loops=1)',), ('  Hash Cond: (ua.id_user = p.user_id)',), ('  Buffers: shared hit=48',), ('  ->  Seq Scan on user_app ua  (cost=0.00..23.50 rows=333 width=1036) (actual time=0.006..1.317 rows=999 loops=1)',), ('        Filter: (id_user > 1)',), ('        Rows Removed by Filter: 1',), ('        Buffers: shared hit=11',), ('  ->  Hash  (cost=42.67..42.67 rows=91 width=3150) (actual time=13.624..13.643 rows=1000 loops=1)',), ('        Buckets: 1024  Batches: 1  Memory Usage: 180kB',), ('        Buffers: shared hit=37',), ('        ->  Hash Join  (cost=28.26..42.67 rows=91 width=3150) (actual time=5.474..12.115 rows=1000 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=37',), ('              ->  Hash Join  (cost=16.69..30.85 rows=91 width=2118) (actual time=2.763..6.735 rows=1000 loops=1)',), ('                    Hash Cond: (t.table_id = ta.id_table)',), ('                    Buffers: shared hit=28',), ('                    ->  Seq Scan on task t  (cost=0.00..13.91 rows=91 width=1086) (actual time=0.004..1.290 rows=1000 loops=1)',), ('                          Buffers: shared hit=13',), ('                    ->  Hash  (cost=15.75..15.75 rows=75 width=1040) (actual time=2.753..2.757 rows=1000 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 114kB',), ('                          Buffers: shared hit=15',), ('                          ->  Seq Scan on table_app ta  (cost=0.00..15.75 rows=75 width=1040) (actual time=0.004..1.384 rows=1000 loops=1)',), ('                                Buffers: shared hit=15',), ('              ->  Hash  (cost=10.70..10.70 rows=70 width=1040) (actual time=2.706..2.710 rows=1000 loops=1)',), ('                    Buckets: 1024  Batches: 1  Memory Usage: 79kB',), ('                    Buffers: shared hit=9',), ('                    ->  Seq Scan on project p  (cost=0.00..10.70 rows=70 width=1040) (actual time=0.004..1.340 rows=1000 loops=1)',), ('                          Buffers: shared hit=9',), ('Planning Time: 0.141 ms',), ('Execution Time: 18.938 ms',)]"
1000,HASH,3016.5810585021973,"[('Hash Join  (cost=43.81..68.86 rows=30 width=4178) (actual time=14.621..18.684 rows=1000 loops=1)',), ('  Hash Cond: (ua.id_user = p.user_id)',), ('  Buffers: shared hit=48',), ('  ->  Seq Scan on user_app ua  (cost=0.00..23.50 rows=333 width=1036) (actual time=0.010..1.303 rows=999 loops=1)',), ('        Filter: (id_user > 1)',), ('        Rows Removed by Filter: 1',), ('        Buffers: shared hit=11',), ('  ->  Hash  (cost=42.67..42.67 rows=91 width=3150) (actual time=14.591..14.611 rows=1000 loops=1)',), ('        Buckets: 1024  Batches: 1  Memory Usage: 180kB',), ('        Buffers: shared hit=37',), ('        ->  Hash Join  (cost=28.26..42.67 rows=91 width=3150) (actual time=5.929..12.956 rows=1000 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=37',), ('              ->  Hash Join  (cost=16.69..30.85 rows=91 width=2118) (actual time=2.984..7.219 rows=1000 loops=1)',), ('                    Hash Cond: (t.table_id = ta.id_table)',), ('                    Buffers: shared hit=28',), ('                    ->  Seq Scan on task t  (cost=0.00..13.91 rows=91 width=1086) (actual time=0.007..1.348 rows=1000 loops=1)',), ('                          Buffers: shared hit=13',), ('                    ->  Hash  (cost=15.75..15.75 rows=75 width=1040) (actual time=2.963..2.967 rows=1000 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 114kB',), ('                          Buffers: shared hit=15',), ('                          ->  Seq Scan on table_app ta  (cost=0.00..15.75 rows=75 width=1040) (actual time=0.006..1.437 rows=1000 loops=1)',), ('                                Buffers: shared hit=15',), ('              ->  Hash  (cost=10.70..10.70 rows=70 width=1040) (actual time=2.937..2.940 rows=1000 loops=1)',), ('                    Buckets: 1024  Batches: 1  Memory Usage: 79kB',), ('                    Buffers: shared hit=9',), ('                    ->  Seq Scan on project p  (cost=0.00..10.70 rows=70 width=1040) (actual time=0.005..1.435 rows=1000 loops=1)',), ('                          Buffers: shared hit=9',), ('Planning Time: 0.253 ms',), ('Execution Time: 19.935 ms',)]"
2000,No Index,5129.204750061035,"[('Hash Join  (cost=73.07..100.97 rows=59 width=4178) (actual time=29.746..37.727 rows=1998 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=92',), ('  ->  Seq Scan on task t  (cost=0.00..26.75 rows=175 width=1086) (actual time=0.010..2.603 rows=2000 loops=1)',), ('        Buffers: shared hit=25',), ('  ->  Hash  (cost=72.46..72.46 rows=49 width=3100) (actual time=29.726..29.745 rows=1999 loops=1)',), ('        Buckets: 2048 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 337kB',), ('        Buffers: shared hit=67',), ('        ->  Hash Join  (cost=41.06..72.46 rows=49 width=3100) (actual time=18.678..26.736 rows=1999 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=67',), ('              ->  Seq Scan on table_app ta  (cost=0.00..30.45 rows=145 width=1040) (actual time=0.006..2.606 rows=2000 loops=1)',), ('                    Buffers: shared hit=29',), ('              ->  Hash  (cost=40.56..40.56 rows=40 width=2068) (actual time=18.664..18.676 rows=1997 loops=1)',), ('                    Buckets: 2048 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 212kB',), ('                    Buffers: shared hit=38',), ('                    ->  Hash Join  (cost=22.05..40.56 rows=40 width=2068) (actual time=7.851..15.779 rows=1997 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=38',), ('                          ->  Seq Scan on project p  (cost=0.00..18.19 rows=119 width=1040) (actual time=0.006..2.549 rows=2000 loops=1)',), ('                                Buffers: shared hit=17',), ('                          ->  Hash  (cost=21.79..21.79 rows=21 width=1036) (actual time=7.834..7.839 rows=1998 loops=1)',), ('                                Buckets: 2048 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 149kB',), ('                                Buffers: shared hit=21',), ('                                ->  Seq Scan on user_app ua  (cost=0.00..21.79 rows=21 width=1036) (actual time=0.010..3.847 rows=1998 loops=1)',), ('                                      Filter: (id_user > 2)',), ('                                      Rows Removed by Filter: 2',), ('                                      Buffers: shared hit=21',), ('Planning Time: 0.278 ms',), ('Execution Time: 40.270 ms',)]"
2000,BTREE,5323.359489440918,"[('Hash Join  (cost=81.35..130.88 rows=59 width=4178) (actual time=20.439..33.779 rows=1998 loops=1)',), ('  Hash Cond: (p.id_project = ta.project_id)',), ('  Buffers: shared hit=92',), ('  ->  Hash Join  (cost=19.68..68.58 rows=40 width=2068) (actual time=4.995..13.021 rows=1997 loops=1)',), ('        Hash Cond: (ua.id_user = p.user_id)',), ('        Buffers: shared hit=38',), ('        ->  Seq Scan on user_app ua  (cost=0.00..46.00 rows=667 width=1036) (actual time=0.007..2.632 rows=1998 loops=1)',), ('              Filter: (id_user > 2)',), ('              Rows Removed by Filter: 2',), ('              Buffers: shared hit=21',), ('        ->  Hash  (cost=18.19..18.19 rows=119 width=1040) (actual time=4.980..4.985 rows=2000 loops=1)',), ('              Buckets: 2048 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 157kB',), ('              Buffers: shared hit=17',), ('              ->  Seq Scan on project p  (cost=0.00..18.19 rows=119 width=1040) (actual time=0.004..2.382 rows=2000 loops=1)',), ('                    Buffers: shared hit=17',), ('  ->  Hash  (cost=59.48..59.48 rows=175 width=2118) (actual time=15.427..15.439 rows=2000 loops=1)',), ('        Buckets: 2048 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 299kB',), ('        Buffers: shared hit=54',), ('        ->  Hash Join  (cost=32.26..59.48 rows=175 width=2118) (actual time=5.091..12.624 rows=2000 loops=1)',), ('              Hash Cond: (t.table_id = ta.id_table)',), ('              Buffers: shared hit=54',), ('              ->  Seq Scan on task t  (cost=0.00..26.75 rows=175 width=1086) (actual time=0.004..2.444 rows=2000 loops=1)',), ('                    Buffers: shared hit=25',), ('              ->  Hash  (cost=30.45..30.45 rows=145 width=1040) (actual time=5.077..5.081 rows=2000 loops=1)',), ('                    Buckets: 2048 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 227kB',), ('                    Buffers: shared hit=29',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..30.45 rows=145 width=1040) (actual time=0.004..2.423 rows=2000 loops=1)',), ('                          Buffers: shared hit=29',), ('Planning Time: 0.147 ms',), ('Execution Time: 36.293 ms',)]"
2000,HASH,5273.441791534424,"[('Hash Join  (cost=81.35..130.88 rows=59 width=4178) (actual time=21.898..35.430 rows=1998 loops=1)',), ('  Hash Cond: (p.id_project = ta.project_id)',), ('  Buffers: shared hit=92',), ('  ->  Hash Join  (cost=19.68..68.58 rows=40 width=2068) (actual time=5.449..13.571 rows=1997 loops=1)',), ('        Hash Cond: (ua.id_user = p.user_id)',), ('        Buffers: shared hit=38',), ('        ->  Seq Scan on user_app ua  (cost=0.00..46.00 rows=667 width=1036) (actual time=0.007..2.710 rows=1998 loops=1)',), ('              Filter: (id_user > 2)',), ('              Rows Removed by Filter: 2',), ('              Buffers: shared hit=21',), ('        ->  Hash  (cost=18.19..18.19 rows=119 width=1040) (actual time=5.435..5.439 rows=2000 loops=1)',), ('              Buckets: 2048 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 157kB',), ('              Buffers: shared hit=17',), ('              ->  Seq Scan on project p  (cost=0.00..18.19 rows=119 width=1040) (actual time=0.004..2.640 rows=2000 loops=1)',), ('                    Buffers: shared hit=17',), ('  ->  Hash  (cost=59.48..59.48 rows=175 width=2118) (actual time=16.431..16.442 rows=2000 loops=1)',), ('        Buckets: 2048 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 299kB',), ('        Buffers: shared hit=54',), ('        ->  Hash Join  (cost=32.26..59.48 rows=175 width=2118) (actual time=5.560..13.482 rows=2000 loops=1)',), ('              Hash Cond: (t.table_id = ta.id_table)',), ('              Buffers: shared hit=54',), ('              ->  Seq Scan on task t  (cost=0.00..26.75 rows=175 width=1086) (actual time=0.005..2.572 rows=2000 loops=1)',), ('                    Buffers: shared hit=25',), ('              ->  Hash  (cost=30.45..30.45 rows=145 width=1040) (actual time=5.541..5.545 rows=2000 loops=1)',), ('                    Buckets: 2048 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 227kB',), ('                    Buffers: shared hit=29',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..30.45 rows=145 width=1040) (actual time=0.004..2.699 rows=2000 loops=1)',), ('                          Buffers: shared hit=29',), ('Planning Time: 0.152 ms',), ('Execution Time: 38.016 ms',)]"
3000,No Index,7264.394283294678,"[('Hash Join  (cost=107.96..150.50 rows=88 width=4178) (actual time=41.487..53.707 rows=3000 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=137',), ('  ->  Seq Scan on task t  (cost=0.00..40.66 rows=266 width=1086) (actual time=0.006..3.885 rows=3000 loops=1)',), ('        Buffers: shared hit=38',), ('  ->  Hash  (cost=107.07..107.07 rows=71 width=3100) (actual time=41.467..41.505 rows=3000 loops=1)',), ('        Buckets: 4096 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 513kB',), ('        Buffers: shared hit=99',), ('        ->  Hash Join  (cost=60.50..107.07 rows=71 width=3100) (actual time=24.868..36.940 rows=3000 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=99',), ('              ->  Seq Scan on table_app ta  (cost=0.00..45.15 rows=215 width=1040) (actual time=0.006..3.873 rows=3000 loops=1)',), ('                    Buffers: shared hit=43',), ('              ->  Hash  (cost=59.77..59.77 rows=58 width=2068) (actual time=24.852..24.881 rows=2999 loops=1)',), ('                    Buckets: 4096 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 325kB',), ('                    Buffers: shared hit=56',), ('                    ->  Hash Join  (cost=32.55..59.77 rows=58 width=2068) (actual time=8.586..20.452 rows=2999 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=56',), ('                          ->  Seq Scan on project p  (cost=0.00..26.75 rows=175 width=1040) (actual time=0.003..3.762 rows=3000 loops=1)',), ('                                Buffers: shared hit=25',), ('                          ->  Hash  (cost=32.16..32.16 rows=31 width=1036) (actual time=8.574..8.579 rows=2997 loops=1)',), ('                                Buckets: 4096 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 232kB',), ('                                Buffers: shared hit=31',), ('                                ->  Seq Scan on user_app ua  (cost=0.00..32.16 rows=31 width=1036) (actual time=0.005..4.270 rows=2997 loops=1)',), ('                                      Filter: (id_user > 3)',), ('                                      Rows Removed by Filter: 3',), ('                                      Buffers: shared hit=31',), ('Planning Time: 0.141 ms',), ('Execution Time: 57.587 ms',)]"
3000,BTREE,7466.692924499512,"[('Hash Join  (cost=148.99..191.52 rows=88 width=4178) (actual time=44.090..56.039 rows=3000 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=147',), ('  ->  Seq Scan on task t  (cost=0.00..40.66 rows=266 width=1086) (actual time=0.012..3.889 rows=3000 loops=1)',), ('        Buffers: shared hit=38',), ('  ->  Hash  (cost=148.10..148.10 rows=71 width=3100) (actual time=44.056..44.080 rows=3000 loops=1)',), ('        Buckets: 4096 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 513kB',), ('        Buffers: shared hit=109',), ('        ->  Hash Join  (cost=101.52..148.10 rows=71 width=3100) (actual time=27.598..39.543 rows=3000 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=109',), ('              ->  Seq Scan on table_app ta  (cost=0.00..45.15 rows=215 width=1040) (actual time=0.007..3.838 rows=3000 loops=1)',), ('                    Buffers: shared hit=43',), ('              ->  Hash  (cost=100.80..100.80 rows=58 width=2068) (actual time=27.570..27.586 rows=2999 loops=1)',), ('                    Buckets: 4096 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 325kB',), ('                    Buffers: shared hit=66',), ('                    ->  Hash Join  (cost=52.97..100.80 rows=58 width=2068) (actual time=11.453..23.295 rows=2999 loops=1)',), ('                          Hash Cond: (ua.id_user = p.user_id)',), ('                          Buffers: shared hit=66',), ('                          ->  Bitmap Heap Scan on user_app ua  (cost=24.03..67.53 rows=1000 width=1036) (actual time=0.248..4.072 rows=2997 loops=1)',), ('                                Recheck Cond: (id_user > 3)',), ('                                Heap Blocks: exact=31',), ('                                Buffers: shared hit=41',), ('                                ->  Bitmap Index Scan on idx_user_id_btree  (cost=0.00..23.78 rows=1000 width=0) (actual time=0.228..0.229 rows=2997 loops=1)',), ('                                      Index Cond: (id_user > 3)',), ('                                      Buffers: shared hit=10',), ('                          ->  Hash  (cost=26.75..26.75 rows=175 width=1040) (actual time=11.184..11.188 rows=3000 loops=1)',), ('                                Buckets: 4096 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 243kB',), ('                                Buffers: shared hit=25',), ('                                ->  Seq Scan on project p  (cost=0.00..26.75 rows=175 width=1040) (actual time=0.009..5.387 rows=3000 loops=1)',), ('                                      Buffers: shared hit=25',), ('Planning Time: 0.334 ms',), ('Execution Time: 59.916 ms',)]"
3000,HASH,7545.080661773682,"[('Hash Join  (cost=148.99..191.52 rows=88 width=4178) (actual time=40.658..52.590 rows=3000 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=147',), ('  ->  Seq Scan on task t  (cost=0.00..40.66 rows=266 width=1086) (actual time=0.006..3.866 rows=3000 loops=1)',), ('        Buffers: shared hit=38',), ('  ->  Hash  (cost=148.10..148.10 rows=71 width=3100) (actual time=40.639..40.662 rows=3000 loops=1)',), ('        Buckets: 4096 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 513kB',), ('        Buffers: shared hit=109',), ('        ->  Hash Join  (cost=101.52..148.10 rows=71 width=3100) (actual time=24.290..36.175 rows=3000 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=109',), ('              ->  Seq Scan on table_app ta  (cost=0.00..45.15 rows=215 width=1040) (actual time=0.004..3.831 rows=3000 loops=1)',), ('                    Buffers: shared hit=43',), ('              ->  Hash  (cost=100.80..100.80 rows=58 width=2068) (actual time=24.266..24.282 rows=2999 loops=1)',), ('                    Buckets: 4096 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 325kB',), ('                    Buffers: shared hit=66',), ('                    ->  Hash Join  (cost=52.97..100.80 rows=58 width=2068) (actual time=7.938..19.949 rows=2999 loops=1)',), ('                          Hash Cond: (ua.id_user = p.user_id)',), ('                          Buffers: shared hit=66',), ('                          ->  Bitmap Heap Scan on user_app ua  (cost=24.03..67.53 rows=1000 width=1036) (actual time=0.094..3.937 rows=2997 loops=1)',), ('                                Recheck Cond: (id_user > 3)',), ('                                Heap Blocks: exact=31',), ('                                Buffers: shared hit=41',), ('                                ->  Bitmap Index Scan on user_app_pkey  (cost=0.00..23.78 rows=1000 width=0) (actual time=0.085..0.087 rows=2997 loops=1)',), ('                                      Index Cond: (id_user > 3)',), ('                                      Buffers: shared hit=10',), ('                          ->  Hash  (cost=26.75..26.75 rows=175 width=1040) (actual time=7.831..7.836 rows=3000 loops=1)',), ('                                Buckets: 4096 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 243kB',), ('                                Buffers: shared hit=25',), ('                                ->  Seq Scan on project p  (cost=0.00..26.75 rows=175 width=1040) (actual time=0.005..3.757 rows=3000 loops=1)',), ('                                      Buffers: shared hit=25',), ('Planning Time: 0.154 ms',), ('Execution Time: 56.436 ms',)]"
4000,No Index,9931.875705718994,"[('Hash Join  (cost=146.25..202.22 rows=116 width=4178) (actual time=52.050..67.556 rows=4000 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=184',), ('  ->  Seq Scan on task t  (cost=0.00..53.50 rows=350 width=1086) (actual time=0.009..4.985 rows=4000 loops=1)',), ('        Buffers: shared hit=50',), ('  ->  Hash  (cost=145.05..145.05 rows=96 width=3100) (actual time=52.031..52.051 rows=4000 loops=1)',), ('        Buckets: 4096 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 673kB',), ('        Buffers: shared hit=134',), ('        ->  Hash Join  (cost=82.10..145.05 rows=96 width=3100) (actual time=30.692..46.263 rows=4000 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=134',), ('              ->  Seq Scan on table_app ta  (cost=0.00..60.90 rows=290 width=1040) (actual time=0.004..4.973 rows=4000 loops=1)',), ('                    Buffers: shared hit=58',), ('              ->  Hash  (cost=81.12..81.12 rows=79 width=2068) (actual time=30.670..30.683 rows=4000 loops=1)',), ('                    Buckets: 4096 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 423kB',), ('                    Buffers: shared hit=76',), ('                    ->  Hash Join  (cost=44.10..81.12 rows=79 width=2068) (actual time=10.096..25.224 rows=4000 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=76',), ('                          ->  Seq Scan on project p  (cost=0.00..36.38 rows=238 width=1040) (actual time=0.003..4.922 rows=4000 loops=1)',), ('                                Buffers: shared hit=34',), ('                          ->  Hash  (cost=43.58..43.58 rows=42 width=1036) (actual time=10.083..10.088 rows=3999 loops=1)',), ('                                Buckets: 4096 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 298kB',), ('                                Buffers: shared hit=42',), ('                                ->  Seq Scan on user_app ua  (cost=0.00..43.58 rows=42 width=1036) (actual time=0.006..4.967 rows=3999 loops=1)',), ('                                      Filter: (id_user > 1)',), ('                                      Rows Removed by Filter: 1',), ('                                      Buffers: shared hit=42',), ('Planning Time: 0.162 ms',), ('Execution Time: 72.458 ms',)]"
