Number of Records,Index Type,Query Time (s),EXPLAIN Plan
10000,No Index,23200.631141662598,"[('Hash Join  (cost=361.28..500.11 rows=289 width=4178) (actual time=142.839..185.525 rows=10000 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=455',), ('  ->  Seq Scan on task t  (cost=0.00..132.68 rows=868 width=1086) (actual time=0.007..13.776 rows=10000 loops=1)',), ('        Buffers: shared hit=124',), ('  ->  Hash  (cost=358.31..358.31 rows=238 width=3100) (actual time=142.821..142.843 rows=10000 loops=1)',), ('        Buckets: 16384 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 1730kB',), ('        Buffers: shared hit=331',), ('        ->  Hash Join  (cost=203.10..358.31 rows=238 width=3100) (actual time=88.580..127.964 rows=10000 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=331',), ('              ->  Seq Scan on table_app ta  (cost=0.00..150.15 rows=715 width=1040) (actual time=0.004..12.696 rows=10000 loops=1)',), ('                    Buffers: shared hit=143',), ('              ->  Hash  (cost=200.65..200.65 rows=196 width=2068) (actual time=88.568..88.582 rows=9999 loops=1)',), ('                    Buckets: 16384 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 1105kB',), ('                    Buffers: shared hit=188',), ('                    ->  Hash Join  (cost=109.20..200.65 rows=196 width=2068) (actual time=30.069..72.899 rows=9999 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=188',), ('                          ->  Seq Scan on project p  (cost=0.00..89.88 rows=588 width=1040) (actual time=0.003..13.522 rows=10000 loops=1)',), ('                                Buffers: shared hit=84',), ('                          ->  Hash  (cost=107.90..107.90 rows=104 width=1036) (actual time=30.058..30.064 rows=9998 loops=1)',), ('                                Buckets: 16384 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 792kB',), ('                                Buffers: shared hit=104',), ('                                ->  Seq Scan on user_app ua  (cost=0.00..107.90 rows=104 width=1036) (actual time=0.006..14.669 rows=9998 loops=1)',), ('                                      Filter: (id_user > 2)',), ('                                      Rows Removed by Filter: 2',), ('                                      Buffers: shared hit=104',), ('Planning Time: 0.151 ms',), ('Execution Time: 198.987 ms',)]"
10000,BTREE,22303.719520568848,"[('Hash Join  (cost=505.50..644.33 rows=289 width=4178) (actual time=138.272..178.929 rows=10000 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=484',), ('  ->  Seq Scan on task t  (cost=0.00..132.68 rows=868 width=1086) (actual time=0.007..13.016 rows=10000 loops=1)',), ('        Buffers: shared hit=124',), ('  ->  Hash  (cost=502.53..502.53 rows=238 width=3100) (actual time=138.258..138.282 rows=10000 loops=1)',), ('        Buckets: 16384 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 1730kB',), ('        Buffers: shared hit=360',), ('        ->  Hash Join  (cost=347.31..502.53 rows=238 width=3100) (actual time=82.343..122.943 rows=10000 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=360',), ('              ->  Seq Scan on table_app ta  (cost=0.00..150.15 rows=715 width=1040) (actual time=0.004..12.973 rows=10000 loops=1)',), ('                    Buffers: shared hit=143',), ('              ->  Hash  (cost=344.86..344.86 rows=196 width=2068) (actual time=82.330..82.347 rows=9999 loops=1)',), ('                    Buckets: 16384 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 1105kB',), ('                    Buffers: shared hit=217',), ('                    ->  Hash Join  (cost=253.44..344.86 rows=196 width=2068) (actual time=27.908..67.745 rows=9999 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=217',), ('                          ->  Seq Scan on project p  (cost=0.00..89.88 rows=588 width=1040) (actual time=0.003..12.749 rows=10000 loops=1)',), ('                                Buffers: shared hit=84',), ('                          ->  Hash  (cost=211.78..211.78 rows=3333 width=1036) (actual time=27.895..27.902 rows=9998 loops=1)',), ('                                Buckets: 16384 (originally 4096)  Batches: 1 (originally 1)  Memory Usage: 792kB',), ('                                Buffers: shared hit=133',), ('                                ->  Bitmap Heap Scan on user_app ua  (cost=66.12..211.78 rows=3333 width=1036) (actual time=0.259..13.902 rows=9998 loops=1)',), ('                                      Recheck Cond: (id_user > 2)',), ('                                      Heap Blocks: exact=104',), ('                                      Buffers: shared hit=133',), ('                                      ->  Bitmap Index Scan on idx_user_id_btree  (cost=0.00..65.28 rows=3333 width=0) (actual time=0.242..0.242 rows=9998 loops=1)',), ('                                            Index Cond: (id_user > 2)',), ('                                            Buffers: shared hit=29',), ('Planning Time: 0.155 ms',), ('Execution Time: 192.232 ms',)]"
10000,HASH,23695.98388671875,"[('Hash Join  (cost=505.50..644.33 rows=289 width=4178) (actual time=138.636..179.582 rows=10000 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=484',), ('  ->  Seq Scan on task t  (cost=0.00..132.68 rows=868 width=1086) (actual time=0.008..12.850 rows=10000 loops=1)',), ('        Buffers: shared hit=124',), ('  ->  Hash  (cost=502.53..502.53 rows=238 width=3100) (actual time=138.616..138.640 rows=10000 loops=1)',), ('        Buckets: 16384 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 1730kB',), ('        Buffers: shared hit=360',), ('        ->  Hash Join  (cost=347.31..502.53 rows=238 width=3100) (actual time=83.057..123.761 rows=10000 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=360',), ('              ->  Seq Scan on table_app ta  (cost=0.00..150.15 rows=715 width=1040) (actual time=0.004..12.794 rows=10000 loops=1)',), ('                    Buffers: shared hit=143',), ('              ->  Hash  (cost=344.86..344.86 rows=196 width=2068) (actual time=83.044..83.060 rows=9999 loops=1)',), ('                    Buckets: 16384 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 1105kB',), ('                    Buffers: shared hit=217',), ('                    ->  Hash Join  (cost=253.44..344.86 rows=196 width=2068) (actual time=27.781..68.508 rows=9999 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=217',), ('                          ->  Seq Scan on project p  (cost=0.00..89.88 rows=588 width=1040) (actual time=0.004..12.814 rows=10000 loops=1)',), ('                                Buffers: shared hit=84',), ('                          ->  Hash  (cost=211.78..211.78 rows=3333 width=1036) (actual time=27.745..27.752 rows=9998 loops=1)',), ('                                Buckets: 16384 (originally 4096)  Batches: 1 (originally 1)  Memory Usage: 792kB',), ('                                Buffers: shared hit=133',), ('                                ->  Bitmap Heap Scan on user_app ua  (cost=66.12..211.78 rows=3333 width=1036) (actual time=0.302..13.731 rows=9998 loops=1)',), ('                                      Recheck Cond: (id_user > 2)',), ('                                      Heap Blocks: exact=104',), ('                                      Buffers: shared hit=133',), ('                                      ->  Bitmap Index Scan on user_app_pkey  (cost=0.00..65.28 rows=3333 width=0) (actual time=0.285..0.286 rows=9998 loops=1)',), ('                                            Index Cond: (id_user > 2)',), ('                                            Buffers: shared hit=29',), ('Planning Time: 0.256 ms',), ('Execution Time: 192.811 ms',)]"
20000,No Index,52124.74346160889,"[('Hash Join  (cost=720.40..996.94 rows=577 width=4178) (actual time=282.153..363.149 rows=20000 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=907',), ('  ->  Seq Scan on task t  (cost=0.00..264.29 rows=1729 width=1086) (actual time=0.009..25.142 rows=20000 loops=1)',), ('        Buffers: shared hit=247',), ('  ->  Hash  (cost=714.44..714.44 rows=477 width=3100) (actual time=282.134..282.157 rows=19999 loops=1)',), ('        Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 3459kB',), ('        Buffers: shared hit=660',), ('        ->  Hash Join  (cost=404.01..714.44 rows=477 width=3100) (actual time=169.307..251.807 rows=19999 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=660',), ('              ->  Seq Scan on table_app ta  (cost=0.00..300.30 rows=1430 width=1040) (actual time=0.005..26.065 rows=20000 loops=1)',), ('                    Buffers: shared hit=286',), ('              ->  Hash  (cost=399.13..399.13 rows=390 width=2068) (actual time=169.292..169.306 rows=19998 loops=1)',), ('                    Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 2209kB',), ('                    Buffers: shared hit=374',), ('                    ->  Hash Join  (cost=217.35..399.13 rows=390 width=2068) (actual time=59.127..140.310 rows=19998 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=374',), ('                          ->  Seq Scan on project p  (cost=0.00..178.69 rows=1169 width=1040) (actual time=0.005..25.645 rows=20000 loops=1)',), ('                                Buffers: shared hit=167',), ('                          ->  Hash  (cost=214.76..214.76 rows=207 width=1036) (actual time=59.114..59.119 rows=19998 loops=1)',), ('                                Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 1584kB',), ('                                Buffers: shared hit=207',), ('                                ->  Seq Scan on user_app ua  (cost=0.00..214.76 rows=207 width=1036) (actual time=0.007..28.996 rows=19998 loops=1)',), ('                                      Filter: (id_user > 2)',), ('                                      Rows Removed by Filter: 2',), ('                                      Buffers: shared hit=207',), ('Planning Time: 0.201 ms',), ('Execution Time: 387.979 ms',)]"
20000,BTREE,66226.79471969604,"[('Hash Join  (cost=1454.16..1742.22 rows=1729 width=2175) (actual time=295.816..377.990 rows=20000 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=60697',), ('  ->  Seq Scan on task t  (cost=0.00..264.29 rows=1729 width=1086) (actual time=0.006..25.074 rows=20000 loops=1)',), ('        Buffers: shared hit=247',), ('  ->  Hash  (cost=1436.28..1436.28 rows=1430 width=1097) (actual time=295.800..295.822 rows=19999 loops=1)',), ('        Buckets: 32768 (originally 2048)  Batches: 1 (originally 1)  Memory Usage: 3459kB',), ('        Buffers: shared hit=60450',), ('        ->  Nested Loop  (cost=617.29..1436.28 rows=1430 width=1097) (actual time=52.625..264.977 rows=19999 loops=1)',), ('              Buffers: shared hit=60450',), ('              ->  Hash Join  (cost=617.00..921.05 rows=1430 width=1072) (actual time=52.597..134.578 rows=20000 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=453',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..300.30 rows=1430 width=1040) (actual time=0.004..25.493 rows=20000 loops=1)',), ('                          Buffers: shared hit=286',), ('                    ->  Hash  (cost=367.00..367.00 rows=20000 width=40) (actual time=52.538..52.544 rows=20000 loops=1)',), ('                          Buckets: 32768  Batches: 1  Memory Usage: 1663kB',), ('                          Buffers: shared hit=167',), ('                          ->  Seq Scan on project p  (cost=0.00..367.00 rows=20000 width=40) (actual time=0.004..24.860 rows=20000 loops=1)',), ('                                Buffers: shared hit=167',), ('              ->  Index Scan using idx_user_id_btree on user_app ua  (cost=0.29..0.36 rows=1 width=33) (actual time=0.003..0.003 rows=1 loops=20000)',), ('                    Index Cond: ((id_user = p.user_id) AND (id_user > 2))',), ('                    Buffers: shared hit=59997',), ('Planning:',), ('  Buffers: shared hit=15',), ('Planning Time: 0.230 ms',), ('Execution Time: 403.437 ms',)]"
20000,HASH,49255.46646118164,"[('Hash Join  (cost=1008.66..1285.20 rows=577 width=4178) (actual time=278.395..362.071 rows=20000 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=963',), ('  ->  Seq Scan on task t  (cost=0.00..264.29 rows=1729 width=1086) (actual time=0.006..25.542 rows=20000 loops=1)',), ('        Buffers: shared hit=247',), ('  ->  Hash  (cost=1002.70..1002.70 rows=477 width=3100) (actual time=278.379..278.408 rows=19999 loops=1)',), ('        Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 3459kB',), ('        Buffers: shared hit=716',), ('        ->  Hash Join  (cost=692.27..1002.70 rows=477 width=3100) (actual time=164.580..248.116 rows=19999 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=716',), ('              ->  Seq Scan on table_app ta  (cost=0.00..300.30 rows=1430 width=1040) (actual time=0.004..25.580 rows=20000 loops=1)',), ('                    Buffers: shared hit=286',), ('              ->  Hash  (cost=687.39..687.39 rows=390 width=2068) (actual time=164.569..164.588 rows=19998 loops=1)',), ('                    Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 2209kB',), ('                    Buffers: shared hit=430',), ('                    ->  Hash Join  (cost=505.63..687.39 rows=390 width=2068) (actual time=54.088..135.674 rows=19998 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=430',), ('                          ->  Seq Scan on project p  (cost=0.00..178.69 rows=1169 width=1040) (actual time=0.003..25.210 rows=20000 loops=1)',), ('                                Buffers: shared hit=167',), ('                          ->  Hash  (cost=422.29..422.29 rows=6667 width=1036) (actual time=54.064..54.072 rows=19998 loops=1)',), ('                                Buckets: 32768 (originally 8192)  Batches: 1 (originally 1)  Memory Usage: 1584kB',), ('                                Buffers: shared hit=263',), ('                                ->  Bitmap Heap Scan on user_app ua  (cost=131.96..422.29 rows=6667 width=1036) (actual time=0.570..26.647 rows=19998 loops=1)',), ('                                      Recheck Cond: (id_user > 2)',), ('                                      Heap Blocks: exact=207',), ('                                      Buffers: shared hit=263',), ('                                      ->  Bitmap Index Scan on user_app_pkey  (cost=0.00..130.29 rows=6667 width=0) (actual time=0.546..0.548 rows=19998 loops=1)',), ('                                            Index Cond: (id_user > 2)',), ('                                            Buffers: shared hit=56',), ('Planning Time: 0.252 ms',), ('Execution Time: 388.126 ms',)]"
30000,No Index,75434.3318939209,"[('Hash Join  (cost=1079.48..1494.85 rows=866 width=4178) (actual time=420.695..546.739 rows=29999 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=1360',), ('  ->  Seq Scan on task t  (cost=0.00..396.97 rows=2597 width=1086) (actual time=0.008..38.254 rows=30000 loops=1)',), ('        Buffers: shared hit=371',), ('  ->  Hash  (cost=1070.55..1070.55 rows=715 width=3100) (actual time=420.676..420.697 rows=29999 loops=1)',), ('        Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 5061kB',), ('        Buffers: shared hit=989',), ('        ->  Hash Join  (cost=604.90..1070.55 rows=715 width=3100) (actual time=248.791..375.030 rows=29999 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=989',), ('              ->  Seq Scan on table_app ta  (cost=0.00..450.45 rows=2145 width=1040) (actual time=0.004..38.540 rows=30000 loops=1)',), ('                    Buffers: shared hit=429',), ('              ->  Hash  (cost=597.62..597.62 rows=583 width=2068) (actual time=248.778..248.791 rows=29999 loops=1)',), ('                    Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 3186kB',), ('                    Buffers: shared hit=560',), ('                    ->  Hash Join  (cost=325.50..597.62 rows=583 width=2068) (actual time=81.656..204.993 rows=29999 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=560',), ('                          ->  Seq Scan on project p  (cost=0.00..267.50 rows=1750 width=1040) (actual time=0.003..38.079 rows=30000 loops=1)',), ('                                Buffers: shared hit=250',), ('                          ->  Hash  (cost=321.62..321.62 rows=310 width=1036) (actual time=81.644..81.649 rows=29999 loops=1)',), ('                                Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 2249kB',), ('                                Buffers: shared hit=310',), ('                                ->  Seq Scan on user_app ua  (cost=0.00..321.62 rows=310 width=1036) (actual time=0.007..40.291 rows=29999 loops=1)',), ('                                      Filter: (id_user > 1)',), ('                                      Rows Removed by Filter: 1',), ('                                      Buffers: shared hit=310',), ('Planning Time: 0.165 ms',), ('Execution Time: 584.374 ms',)]"
30000,BTREE,79789.0853881836,"[('Hash Join  (cost=2410.50..2825.87 rows=866 width=4178) (actual time=501.546..629.882 rows=29999 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=1443',), ('  ->  Seq Scan on task t  (cost=0.00..396.97 rows=2597 width=1086) (actual time=0.007..38.762 rows=30000 loops=1)',), ('        Buffers: shared hit=371',), ('  ->  Hash  (cost=2401.56..2401.56 rows=715 width=3100) (actual time=501.524..501.548 rows=29999 loops=1)',), ('        Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 5061kB',), ('        Buffers: shared hit=1072',), ('        ->  Hash Join  (cost=1935.92..2401.56 rows=715 width=3100) (actual time=326.834..455.398 rows=29999 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=1072',), ('              ->  Seq Scan on table_app ta  (cost=0.00..450.45 rows=2145 width=1040) (actual time=0.004..39.229 rows=30000 loops=1)',), ('                    Buffers: shared hit=429',), ('              ->  Hash  (cost=1928.63..1928.63 rows=583 width=2068) (actual time=326.794..326.809 rows=29999 loops=1)',), ('                    Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 3186kB',), ('                    Buffers: shared hit=643',), ('                    ->  Merge Join  (cost=362.05..1928.63 rows=583 width=2068) (actual time=82.089..282.740 rows=29999 loops=1)',), ('                          Merge Cond: (ua.id_user = p.user_id)',), ('                          Buffers: shared hit=643',), ('                          ->  Index Scan using idx_user_id_btree on user_app ua  (cost=0.29..1527.29 rows=10000 width=1036) (actual time=0.020..40.885 rows=29999 loops=1)',), ('                                Index Cond: (id_user > 1)',), ('                                Buffers: shared hit=393',), ('                          ->  Sort  (cost=361.76..366.14 rows=1750 width=1040) (actual time=82.055..122.430 rows=30000 loops=1)',), ('                                Sort Key: p.user_id',), ('                                Sort Method: quicksort  Memory: 3112kB',), ('                                Buffers: shared hit=250',), ('                                ->  Seq Scan on project p  (cost=0.00..267.50 rows=1750 width=1040) (actual time=0.004..39.247 rows=30000 loops=1)',), ('                                      Buffers: shared hit=250',), ('Planning Time: 0.394 ms',), ('Execution Time: 669.139 ms',)]"
30000,HASH,79270.54166793823,"[('Hash Join  (cost=2410.50..2825.87 rows=866 width=4178) (actual time=499.481..626.439 rows=29999 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=1443',), ('  ->  Seq Scan on task t  (cost=0.00..396.97 rows=2597 width=1086) (actual time=0.007..38.586 rows=30000 loops=1)',), ('        Buffers: shared hit=371',), ('  ->  Hash  (cost=2401.56..2401.56 rows=715 width=3100) (actual time=499.463..499.486 rows=29999 loops=1)',), ('        Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 5061kB',), ('        Buffers: shared hit=1072',), ('        ->  Hash Join  (cost=1935.92..2401.56 rows=715 width=3100) (actual time=326.754..453.661 rows=29999 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=1072',), ('              ->  Seq Scan on table_app ta  (cost=0.00..450.45 rows=2145 width=1040) (actual time=0.003..38.885 rows=30000 loops=1)',), ('                    Buffers: shared hit=429',), ('              ->  Hash  (cost=1928.63..1928.63 rows=583 width=2068) (actual time=326.740..326.755 rows=29999 loops=1)',), ('                    Buckets: 32768 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 3186kB',), ('                    Buffers: shared hit=643',), ('                    ->  Merge Join  (cost=362.05..1928.63 rows=583 width=2068) (actual time=82.749..282.850 rows=29999 loops=1)',), ('                          Merge Cond: (ua.id_user = p.user_id)',), ('                          Buffers: shared hit=643',), ('                          ->  Index Scan using user_app_pkey on user_app ua  (cost=0.29..1527.29 rows=10000 width=1036) (actual time=0.014..40.880 rows=29999 loops=1)',), ('                                Index Cond: (id_user > 1)',), ('                                Buffers: shared hit=393',), ('                          ->  Sort  (cost=361.76..366.14 rows=1750 width=1040) (actual time=82.722..122.947 rows=30000 loops=1)',), ('                                Sort Key: p.user_id',), ('                                Sort Method: quicksort  Memory: 3112kB',), ('                                Buffers: shared hit=250',), ('                                ->  Seq Scan on project p  (cost=0.00..267.50 rows=1750 width=1040) (actual time=0.005..39.693 rows=30000 loops=1)',), ('                                      Buffers: shared hit=250',), ('Planning Time: 0.203 ms',), ('Execution Time: 665.332 ms',)]"
40000,No Index,99793.6487197876,"[('Hash Join  (cost=1439.69..1992.76 rows=1152 width=4178) (actual time=554.680..722.917 rows=39998 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=1813',), ('  ->  Seq Scan on task t  (cost=0.00..528.58 rows=3458 width=1086) (actual time=0.012..50.539 rows=40000 loops=1)',), ('        Buffers: shared hit=494',), ('  ->  Hash  (cost=1427.78..1427.78 rows=953 width=3100) (actual time=554.655..554.677 rows=39999 loops=1)',), ('        Buckets: 65536 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 6919kB',), ('        Buffers: shared hit=1319',), ('        ->  Hash Join  (cost=806.93..1427.78 rows=953 width=3100) (actual time=327.456..494.450 rows=39999 loops=1)',), ('              Hash Cond: (ta.project_id = p.id_project)',), ('              Buffers: shared hit=1319',), ('              ->  Seq Scan on table_app ta  (cost=0.00..600.60 rows=2860 width=1040) (actual time=0.007..51.084 rows=40000 loops=1)',), ('                    Buffers: shared hit=572',), ('              ->  Hash  (cost=797.19..797.19 rows=779 width=2068) (actual time=327.438..327.452 rows=39999 loops=1)',), ('                    Buckets: 65536 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 4419kB',), ('                    Buffers: shared hit=747',), ('                    ->  Hash Join  (cost=433.65..797.19 rows=779 width=2068) (actual time=107.043..269.923 rows=39999 loops=1)',), ('                          Hash Cond: (p.user_id = ua.id_user)',), ('                          Buffers: shared hit=747',), ('                          ->  Seq Scan on project p  (cost=0.00..357.38 rows=2338 width=1040) (actual time=0.008..50.256 rows=40000 loops=1)',), ('                                Buffers: shared hit=334',), ('                          ->  Hash  (cost=428.49..428.49 rows=413 width=1036) (actual time=107.024..107.029 rows=39999 loops=1)',), ('                                Buckets: 65536 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 3169kB',), ('                                Buffers: shared hit=413',), ('                                ->  Seq Scan on user_app ua  (cost=0.00..428.49 rows=413 width=1036) (actual time=0.011..53.433 rows=39999 loops=1)',), ('                                      Filter: (id_user > 1)',), ('                                      Rows Removed by Filter: 1',), ('                                      Buffers: shared hit=413',), ('Planning Time: 0.328 ms',), ('Execution Time: 773.012 ms',)]"
