Number of Records,Index Type,Query Time (s),EXPLAIN Plan
10000,No Index,2401.149272918701,"[('Nested Loop  (cost=243.75..387.80 rows=5 width=4178) (actual time=26.421..26.444 rows=0 loops=1)',), ('  Buffers: shared hit=231',), ('  ->  Index Scan using user_app_pkey on user_app ua  (cost=0.27..8.29 rows=1 width=1036) (actual time=0.011..0.016 rows=1 loops=1)',), ('        Index Cond: (id_user = 3)',), ('        Buffers: shared hit=3',), ('  ->  Hash Join  (cost=243.48..379.46 rows=5 width=3150) (actual time=26.401..26.418 rows=0 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=228',), ('        ->  Seq Scan on task t  (cost=0.00..132.68 rows=868 width=1086) (actual time=0.004..0.005 rows=1 loops=1)',), ('              Buffers: shared hit=1',), ('        ->  Hash  (cost=243.43..243.43 rows=4 width=2072) (actual time=26.386..26.399 rows=0 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('              Buffers: shared hit=227',), ('              ->  Hash Join  (cost=91.39..243.43 rows=4 width=2072) (actual time=26.383..26.393 rows=0 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=227',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..150.15 rows=715 width=1040) (actual time=0.003..12.768 rows=10000 loops=1)',), ('                          Buffers: shared hit=143',), ('                    ->  Hash  (cost=91.35..91.35 rows=3 width=1040) (actual time=0.689..0.693 rows=1 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=84',), ('                          ->  Seq Scan on project p  (cost=0.00..91.35 rows=3 width=1040) (actual time=0.255..0.682 rows=1 loops=1)',), ('                                Filter: (user_id = 3)',), ('                                Rows Removed by Filter: 9999',), ('                                Buffers: shared hit=84',), ('Planning Time: 0.136 ms',), ('Execution Time: 26.479 ms',)]"
10000,BTREE,2717.0300483703613,"[('Nested Loop  (cost=243.76..387.81 rows=5 width=4178) (actual time=26.868..26.890 rows=0 loops=1)',), ('  Buffers: shared hit=231',), ('  ->  Index Scan using idx_user_id_btree on user_app ua  (cost=0.29..8.30 rows=1 width=1036) (actual time=0.010..0.015 rows=1 loops=1)',), ('        Index Cond: (id_user = 3)',), ('        Buffers: shared hit=3',), ('  ->  Hash Join  (cost=243.48..379.46 rows=5 width=3150) (actual time=26.848..26.866 rows=0 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=228',), ('        ->  Seq Scan on task t  (cost=0.00..132.68 rows=868 width=1086) (actual time=0.004..0.005 rows=1 loops=1)',), ('              Buffers: shared hit=1',), ('        ->  Hash  (cost=243.43..243.43 rows=4 width=2072) (actual time=26.839..26.851 rows=0 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('              Buffers: shared hit=227',), ('              ->  Hash Join  (cost=91.39..243.43 rows=4 width=2072) (actual time=26.836..26.846 rows=0 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=227',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..150.15 rows=715 width=1040) (actual time=0.003..12.975 rows=10000 loops=1)',), ('                          Buffers: shared hit=143',), ('                    ->  Hash  (cost=91.35..91.35 rows=3 width=1040) (actual time=0.775..0.780 rows=1 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=84',), ('                          ->  Seq Scan on project p  (cost=0.00..91.35 rows=3 width=1040) (actual time=0.291..0.770 rows=1 loops=1)',), ('                                Filter: (user_id = 3)',), ('                                Rows Removed by Filter: 9999',), ('                                Buffers: shared hit=84',), ('Planning Time: 0.128 ms',), ('Execution Time: 26.917 ms',)]"
10000,HASH,2753.591537475586,"[('Nested Loop  (cost=243.48..387.53 rows=5 width=4178) (actual time=26.533..26.555 rows=0 loops=1)',), ('  Buffers: shared hit=230',), ('  ->  Index Scan using idx_user_id_hash on user_app ua  (cost=0.00..8.02 rows=1 width=1036) (actual time=0.008..0.012 rows=1 loops=1)',), ('        Index Cond: (id_user = 3)',), ('        Buffers: shared hit=2',), ('  ->  Hash Join  (cost=243.48..379.46 rows=5 width=3150) (actual time=26.514..26.532 rows=0 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=228',), ('        ->  Seq Scan on task t  (cost=0.00..132.68 rows=868 width=1086) (actual time=0.005..0.006 rows=1 loops=1)',), ('              Buffers: shared hit=1',), ('        ->  Hash  (cost=243.43..243.43 rows=4 width=2072) (actual time=26.503..26.515 rows=0 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('              Buffers: shared hit=227',), ('              ->  Hash Join  (cost=91.39..243.43 rows=4 width=2072) (actual time=26.500..26.509 rows=0 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=227',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..150.15 rows=715 width=1040) (actual time=0.003..12.871 rows=10000 loops=1)',), ('                          Buffers: shared hit=143',), ('                    ->  Hash  (cost=91.35..91.35 rows=3 width=1040) (actual time=0.708..0.712 rows=1 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=84',), ('                          ->  Seq Scan on project p  (cost=0.00..91.35 rows=3 width=1040) (actual time=0.251..0.703 rows=1 loops=1)',), ('                                Filter: (user_id = 3)',), ('                                Rows Removed by Filter: 9999',), ('                                Buffers: shared hit=84',), ('Planning Time: 0.146 ms',), ('Execution Time: 26.582 ms',)]"
20000,No Index,4601.378440856934,"[('Nested Loop  (cost=486.11..765.07 rows=8 width=4178) (actual time=52.676..52.699 rows=0 loops=1)',), ('  Buffers: shared hit=457',), ('  ->  Index Scan using user_app_pkey on user_app ua  (cost=0.28..8.29 rows=1 width=1036) (actual time=0.012..0.018 rows=1 loops=1)',), ('        Index Cond: (id_user = 1)',), ('        Buffers: shared hit=3',), ('  ->  Hash Join  (cost=485.84..756.69 rows=8 width=3150) (actual time=52.653..52.671 rows=0 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=454',), ('        ->  Seq Scan on task t  (cost=0.00..264.29 rows=1729 width=1086) (actual time=0.005..0.007 rows=1 loops=1)',), ('              Buffers: shared hit=1',), ('        ->  Hash  (cost=485.75..485.75 rows=7 width=2072) (actual time=52.631..52.643 rows=0 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('              Buffers: shared hit=453',), ('              ->  Hash Join  (cost=181.69..485.75 rows=7 width=2072) (actual time=52.628..52.637 rows=0 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=453',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..300.30 rows=1430 width=1040) (actual time=0.003..25.516 rows=20000 loops=1)',), ('                          Buffers: shared hit=286',), ('                    ->  Hash  (cost=181.61..181.61 rows=6 width=1040) (actual time=1.367..1.371 rows=1 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=167',), ('                          ->  Seq Scan on project p  (cost=0.00..181.61 rows=6 width=1040) (actual time=0.702..1.361 rows=1 loops=1)',), ('                                Filter: (user_id = 1)',), ('                                Rows Removed by Filter: 19999',), ('                                Buffers: shared hit=167',), ('Planning Time: 0.155 ms',), ('Execution Time: 52.728 ms',)]"
20000,BTREE,4365.75174331665,"[('Nested Loop  (cost=486.13..765.08 rows=8 width=4178) (actual time=53.137..53.161 rows=0 loops=1)',), ('  Buffers: shared hit=457',), ('  ->  Index Scan using idx_user_id_btree on user_app ua  (cost=0.29..8.30 rows=1 width=1036) (actual time=0.011..0.016 rows=1 loops=1)',), ('        Index Cond: (id_user = 1)',), ('        Buffers: shared hit=3',), ('  ->  Hash Join  (cost=485.84..756.69 rows=8 width=3150) (actual time=53.116..53.134 rows=0 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=454',), ('        ->  Seq Scan on task t  (cost=0.00..264.29 rows=1729 width=1086) (actual time=0.005..0.006 rows=1 loops=1)',), ('              Buffers: shared hit=1',), ('        ->  Hash  (cost=485.75..485.75 rows=7 width=2072) (actual time=53.104..53.117 rows=0 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('              Buffers: shared hit=453',), ('              ->  Hash Join  (cost=181.69..485.75 rows=7 width=2072) (actual time=53.102..53.112 rows=0 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=453',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..300.30 rows=1430 width=1040) (actual time=0.003..25.698 rows=20000 loops=1)',), ('                          Buffers: shared hit=286',), ('                    ->  Hash  (cost=181.61..181.61 rows=6 width=1040) (actual time=1.371..1.376 rows=1 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=167',), ('                          ->  Seq Scan on project p  (cost=0.00..181.61 rows=6 width=1040) (actual time=0.717..1.366 rows=1 loops=1)',), ('                                Filter: (user_id = 1)',), ('                                Rows Removed by Filter: 19999',), ('                                Buffers: shared hit=167',), ('Planning Time: 0.138 ms',), ('Execution Time: 53.187 ms',)]"
20000,HASH,4501.221179962158,"[('Nested Loop  (cost=485.84..764.79 rows=8 width=4178) (actual time=53.966..53.989 rows=0 loops=1)',), ('  Buffers: shared hit=456',), ('  ->  Index Scan using idx_user_id_hash on user_app ua  (cost=0.00..8.02 rows=1 width=1036) (actual time=0.008..0.013 rows=1 loops=1)',), ('        Index Cond: (id_user = 1)',), ('        Buffers: shared hit=2',), ('  ->  Hash Join  (cost=485.84..756.69 rows=8 width=3150) (actual time=53.948..53.966 rows=0 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=454',), ('        ->  Seq Scan on task t  (cost=0.00..264.29 rows=1729 width=1086) (actual time=0.005..0.006 rows=1 loops=1)',), ('              Buffers: shared hit=1',), ('        ->  Hash  (cost=485.75..485.75 rows=7 width=2072) (actual time=53.937..53.950 rows=0 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('              Buffers: shared hit=453',), ('              ->  Hash Join  (cost=181.69..485.75 rows=7 width=2072) (actual time=53.934..53.945 rows=0 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=453',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..300.30 rows=1430 width=1040) (actual time=0.003..26.128 rows=20000 loops=1)',), ('                          Buffers: shared hit=286',), ('                    ->  Hash  (cost=181.61..181.61 rows=6 width=1040) (actual time=1.395..1.400 rows=1 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=167',), ('                          ->  Seq Scan on project p  (cost=0.00..181.61 rows=6 width=1040) (actual time=0.720..1.391 rows=1 loops=1)',), ('                                Filter: (user_id = 1)',), ('                                Rows Removed by Filter: 19999',), ('                                Buffers: shared hit=167',), ('Planning Time: 0.136 ms',), ('Execution Time: 54.015 ms',)]"
30000,No Index,8876.006603240967,"[('Nested Loop  (cost=1433.10..1847.84 rows=1 width=1210) (actual time=79.546..157.606 rows=3 loops=1)',), ('  Buffers: shared hit=1059',), ('  ->  Hash Join  (cost=1432.81..1839.53 rows=1 width=1185) (actual time=79.528..157.540 rows=3 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=1050',), ('        ->  Seq Scan on task t  (cost=0.00..396.97 rows=2597 width=1086) (actual time=0.006..38.485 rows=30000 loops=1)',), ('              Buffers: shared hit=371',), ('        ->  Hash  (cost=1432.79..1432.79 rows=2 width=107) (actual time=79.322..79.336 rows=2 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=679',), ('              ->  Hash Join  (cost=625.02..1432.79 rows=2 width=107) (actual time=32.000..79.318 rows=2 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=679',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..729.00 rows=30000 width=75) (actual time=0.002..38.091 rows=30000 loops=1)',), ('                          Buffers: shared hit=429',), ('                    ->  Hash  (cost=625.00..625.00 rows=2 width=40) (actual time=1.862..1.867 rows=2 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=250',), ('                          ->  Seq Scan on project p  (cost=0.00..625.00 rows=2 width=40) (actual time=0.344..1.856 rows=2 loops=1)',), ('                                Filter: (user_id = 1)',), ('                                Rows Removed by Filter: 29998',), ('                                Buffers: shared hit=250',), ('  ->  Index Scan using user_app_pkey on user_app ua  (cost=0.29..8.30 rows=1 width=33) (actual time=0.010..0.012 rows=1 loops=3)',), ('        Index Cond: (id_user = 1)',), ('        Buffers: shared hit=9',), ('Planning:',), ('  Buffers: shared hit=12',), ('Planning Time: 0.199 ms',), ('Execution Time: 157.640 ms',)]"
30000,BTREE,9190.664291381836,"[('Nested Loop  (cost=728.50..1143.49 rows=13 width=4178) (actual time=79.430..157.525 rows=3 loops=1)',), ('  Buffers: shared hit=1053',), ('  ->  Index Scan using idx_user_id_btree on user_app ua  (cost=0.29..8.30 rows=1 width=1036) (actual time=0.011..0.016 rows=1 loops=1)',), ('        Index Cond: (id_user = 1)',), ('        Buffers: shared hit=3',), ('  ->  Hash Join  (cost=728.22..1135.06 rows=13 width=3150) (actual time=79.412..157.490 rows=3 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=1050',), ('        ->  Seq Scan on task t  (cost=0.00..396.97 rows=2597 width=1086) (actual time=0.004..38.420 rows=30000 loops=1)',), ('              Buffers: shared hit=371',), ('        ->  Hash  (cost=728.08..728.08 rows=11 width=2072) (actual time=79.220..79.233 rows=2 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=679',), ('              ->  Hash Join  (cost=271.99..728.08 rows=11 width=2072) (actual time=32.514..79.216 rows=2 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=679',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..450.45 rows=2145 width=1040) (actual time=0.004..38.243 rows=30000 loops=1)',), ('                          Buffers: shared hit=429',), ('                    ->  Hash  (cost=271.88..271.88 rows=9 width=1040) (actual time=2.036..2.041 rows=2 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=250',), ('                          ->  Seq Scan on project p  (cost=0.00..271.88 rows=9 width=1040) (actual time=0.382..2.018 rows=2 loops=1)',), ('                                Filter: (user_id = 1)',), ('                                Rows Removed by Filter: 29998',), ('                                Buffers: shared hit=250',), ('Planning Time: 0.141 ms',), ('Execution Time: 157.556 ms',)]"
30000,HASH,9387.397766113281,"[('Nested Loop  (cost=728.22..1143.20 rows=13 width=4178) (actual time=86.418..163.109 rows=3 loops=1)',), ('  Buffers: shared hit=1052',), ('  ->  Index Scan using idx_user_id_hash on user_app ua  (cost=0.00..8.02 rows=1 width=1036) (actual time=0.015..0.020 rows=1 loops=1)',), ('        Index Cond: (id_user = 1)',), ('        Buffers: shared hit=2',), ('  ->  Hash Join  (cost=728.22..1135.06 rows=13 width=3150) (actual time=86.396..163.069 rows=3 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=1050',), ('        ->  Seq Scan on task t  (cost=0.00..396.97 rows=2597 width=1086) (actual time=0.007..38.016 rows=30000 loops=1)',), ('              Buffers: shared hit=371',), ('        ->  Hash  (cost=728.08..728.08 rows=11 width=2072) (actual time=86.184..86.196 rows=2 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=679',), ('              ->  Hash Join  (cost=271.99..728.08 rows=11 width=2072) (actual time=37.271..86.144 rows=2 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=679',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..450.45 rows=2145 width=1040) (actual time=0.005..41.310 rows=30000 loops=1)',), ('                          Buffers: shared hit=429',), ('                    ->  Hash  (cost=271.88..271.88 rows=9 width=1040) (actual time=2.889..2.893 rows=2 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=250',), ('                          ->  Seq Scan on project p  (cost=0.00..271.88 rows=9 width=1040) (actual time=0.562..2.865 rows=2 loops=1)',), ('                                Filter: (user_id = 1)',), ('                                Rows Removed by Filter: 29998',), ('                                Buffers: shared hit=250',), ('Planning Time: 0.189 ms',), ('Execution Time: 163.153 ms',)]"
40000,No Index,7994.627952575684,"[('Hash Join  (cost=980.13..1521.85 rows=18 width=4178) (actual time=106.519..106.543 rows=0 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=910',), ('  ->  Seq Scan on task t  (cost=0.00..528.58 rows=3458 width=1086) (actual time=0.005..0.007 rows=1 loops=1)',), ('        Buffers: shared hit=1',), ('  ->  Hash  (cost=979.94..979.94 rows=15 width=3100) (actual time=106.507..106.524 rows=0 loops=1)',), ('        Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('        Buffers: shared hit=909',), ('        ->  Nested Loop  (cost=363.65..979.94 rows=15 width=3100) (actual time=106.504..106.519 rows=0 loops=1)',), ('              Buffers: shared hit=909',), ('              ->  Index Scan using user_app_pkey on user_app ua  (cost=0.28..8.29 rows=1 width=1036) (actual time=0.009..0.013 rows=1 loops=1)',), ('                    Index Cond: (id_user = 1)',), ('                    Buffers: shared hit=3',), ('              ->  Hash Join  (cost=363.38..971.49 rows=15 width=2072) (actual time=106.485..106.494 rows=0 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=906',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..600.60 rows=2860 width=1040) (actual time=0.004..51.425 rows=40000 loops=1)',), ('                          Buffers: shared hit=572',), ('                    ->  Hash  (cost=363.23..363.23 rows=12 width=1040) (actual time=2.781..2.786 rows=1 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=334',), ('                          ->  Seq Scan on project p  (cost=0.00..363.23 rows=12 width=1040) (actual time=0.847..2.772 rows=1 loops=1)',), ('                                Filter: (user_id = 1)',), ('                                Rows Removed by Filter: 39999',), ('                                Buffers: shared hit=334',), ('Planning Time: 0.140 ms',), ('Execution Time: 106.569 ms',)]"
