Number of Records,Index Type,Query Time (s),EXPLAIN Plan
100,No Index,0.0004921674728393555,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.38..8.39 rows=1 width=2088) (actual time=0.025..0.029 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'ianhrxdwnp@example.com'::text)"",), ('  Buffers: shared hit=4',), ('Planning Time: 0.038 ms',), ('Execution Time: 0.048 ms',)]"
100,BTREE,0.0005189895629882813,"[('Index Scan using idx_email_btree on user_app  (cost=0.12..8.14 rows=1 width=2088) (actual time=0.011..0.015 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'nznnjenmyn@example.com'::text)"",), ('  Buffers: shared hit=2',), ('Planning Time: 0.051 ms',), ('Execution Time: 0.036 ms',)]"
100,HASH,0.00026891231536865237,"[('Index Scan using idx_email_hash on user_app  (cost=0.00..8.02 rows=1 width=2088) (actual time=0.005..0.009 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'braqrojffu@example.com'::text)"",), ('  Buffers: shared hit=2',), ('Planning Time: 0.023 ms',), ('Execution Time: 0.020 ms',)]"
101,No Index,0.00029542446136474607,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.38..8.39 rows=1 width=2088) (actual time=0.008..0.010 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'ltabqzlxof@example.com'::text)"",), ('  Buffers: shared hit=4',), ('Planning Time: 0.021 ms',), ('Execution Time: 0.021 ms',)]"
101,BTREE,0.0002822399139404297,"[('Index Scan using idx_email_btree on user_app  (cost=0.12..8.14 rows=1 width=2088) (actual time=0.005..0.008 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'jjdlmlcnwo@example.com'::text)"",), ('  Buffers: shared hit=2',), ('Planning Time: 0.019 ms',), ('Execution Time: 0.017 ms',)]"
101,HASH,0.0006679058074951172,"[('Index Scan using idx_email_hash on user_app  (cost=0.00..8.02 rows=1 width=2088) (actual time=0.010..0.015 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'sfjlomxbon@example.com'::text)"",), ('  Buffers: shared hit=2',), ('Planning Time: 0.056 ms',), ('Execution Time: 0.036 ms',)]"
102,No Index,0.0008041620254516602,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.38..8.39 rows=1 width=2088) (actual time=0.020..0.025 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'dgcdnunwrj@example.com'::text)"",), ('  Buffers: shared hit=4',), ('Planning Time: 0.060 ms',), ('Execution Time: 0.047 ms',)]"
102,BTREE,0.0008490562438964843,"[('Index Scan using idx_email_btree on user_app  (cost=0.12..8.14 rows=1 width=2088) (actual time=0.013..0.018 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'fplokgdict@example.com'::text)"",), ('  Buffers: shared hit=2',), ('Planning Time: 0.062 ms',), ('Execution Time: 0.040 ms',)]"
102,HASH,0.0007981300354003906,"[('Index Scan using idx_email_hash on user_app  (cost=0.00..8.02 rows=1 width=2088) (actual time=0.011..0.016 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'rzoqhgvajs@example.com'::text)"",), ('  Buffers: shared hit=2',), ('Planning Time: 0.062 ms',), ('Execution Time: 0.039 ms',)]"
103,No Index,0.000556778907775879,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.38..8.39 rows=1 width=2088) (actual time=0.020..0.025 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'qtipomufkq@example.com'::text)"",), ('  Buffers: shared hit=4',), ('Planning Time: 0.057 ms',), ('Execution Time: 0.048 ms',)]"
103,BTREE,0.0006612062454223633,"[('Index Scan using idx_email_btree on user_app  (cost=0.12..8.14 rows=1 width=2088) (actual time=0.012..0.017 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'tsnhomlrve@example.com'::text)"",), ('  Buffers: shared hit=2',), ('Planning Time: 0.057 ms',), ('Execution Time: 0.038 ms',)]"
103,HASH,0.0006623983383178711,"[('Index Scan using idx_email_hash on user_app  (cost=0.00..8.02 rows=1 width=2088) (actual time=0.010..0.015 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'yymwtfpbgt@example.com'::text)"",), ('  Buffers: shared hit=2',), ('Planning Time: 0.057 ms',), ('Execution Time: 0.035 ms',)]"
104,No Index,0.0007300615310668945,"[('Index Scan using uniq_user_app_email on user_app  (cost=0.38..8.39 rows=1 width=2088) (actual time=0.020..0.025 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'igngwdaeuq@example.com'::text)"",), ('  Buffers: shared hit=4',), ('Planning Time: 0.057 ms',), ('Execution Time: 0.048 ms',)]"
104,BTREE,0.000734710693359375,"[('Index Scan using idx_email_btree on user_app  (cost=0.12..8.14 rows=1 width=2088) (actual time=0.014..0.019 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'dwueoeixxm@example.com'::text)"",), ('  Buffers: shared hit=2',), ('Planning Time: 0.063 ms',), ('Execution Time: 0.040 ms',)]"
104,HASH,0.0007421970367431641,"[('Index Scan using idx_email_hash on user_app  (cost=0.00..8.02 rows=1 width=2088) (actual time=0.011..0.016 rows=1 loops=1)',), (""  Index Cond: ((email)::text = 'jnorvufwch@example.com'::text)"",), ('  Buffers: shared hit=2',), ('Planning Time: 0.062 ms',), ('Execution Time: 0.038 ms',)]"
