Number of Records,Index Type,Query Time (s),EXPLAIN Plan
10000,No Index,0.0024450373649597167,"[('Nested Loop  (cost=243.75..387.80 rows=5 width=4178) (actual time=27.452..27.474 rows=0 loops=1)',), ('  Buffers: shared hit=231',), ('  ->  Index Scan using user_app_pkey on user_app ua  (cost=0.27..8.29 rows=1 width=1036) (actual time=0.016..0.020 rows=1 loops=1)',), ('        Index Cond: (id_user = 2)',), ('        Buffers: shared hit=3',), ('  ->  Hash Join  (cost=243.48..379.46 rows=5 width=3150) (actual time=27.427..27.443 rows=0 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=228',), ('        ->  Seq Scan on task t  (cost=0.00..132.68 rows=868 width=1086) (actual time=0.005..0.007 rows=1 loops=1)',), ('              Buffers: shared hit=1',), ('        ->  Hash  (cost=243.43..243.43 rows=4 width=2072) (actual time=27.409..27.421 rows=0 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('              Buffers: shared hit=227',), ('              ->  Hash Join  (cost=91.39..243.43 rows=4 width=2072) (actual time=27.406..27.415 rows=0 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=227',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..150.15 rows=715 width=1040) (actual time=0.004..13.171 rows=10000 loops=1)',), ('                          Buffers: shared hit=143',), ('                    ->  Hash  (cost=91.35..91.35 rows=3 width=1040) (actual time=0.792..0.796 rows=1 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=84',), ('                          ->  Seq Scan on project p  (cost=0.00..91.35 rows=3 width=1040) (actual time=0.651..0.712 rows=1 loops=1)',), ('                                Filter: (user_id = 2)',), ('                                Rows Removed by Filter: 9999',), ('                                Buffers: shared hit=84',), ('Planning Time: 0.138 ms',), ('Execution Time: 27.511 ms',)]"
10000,BTREE,0.0024899005889892577,"[('Nested Loop  (cost=478.60..622.57 rows=1 width=1210) (actual time=26.692..26.714 rows=0 loops=1)',), ('  Buffers: shared hit=228',), ('  ->  Hash Join  (cost=478.31..614.26 rows=1 width=1185) (actual time=26.689..26.708 rows=0 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=228',), ('        ->  Seq Scan on task t  (cost=0.00..132.68 rows=868 width=1086) (actual time=0.005..0.006 rows=1 loops=1)',), ('              Buffers: shared hit=1',), ('        ->  Hash  (cost=478.29..478.29 rows=2 width=107) (actual time=26.678..26.691 rows=0 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('              Buffers: shared hit=227',), ('              ->  Hash Join  (cost=209.03..478.29 rows=2 width=107) (actual time=26.675..26.686 rows=0 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=227',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..243.00 rows=10000 width=75) (actual time=0.002..12.755 rows=10000 loops=1)',), ('                          Buffers: shared hit=143',), ('                    ->  Hash  (cost=209.00..209.00 rows=2 width=40) (actual time=0.614..0.619 rows=1 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=84',), ('                          ->  Seq Scan on project p  (cost=0.00..209.00 rows=2 width=40) (actual time=0.565..0.610 rows=1 loops=1)',), ('                                Filter: (user_id = 2)',), ('                                Rows Removed by Filter: 9999',), ('                                Buffers: shared hit=84',), ('  ->  Index Scan using idx_user_id_btree on user_app ua  (cost=0.29..8.30 rows=1 width=33) (never executed)',), ('        Index Cond: (id_user = 2)',), ('Planning:',), ('  Buffers: shared hit=12',), ('Planning Time: 0.175 ms',), ('Execution Time: 26.740 ms',)]"
10000,HASH,0.0022529315948486327,"[('Nested Loop  (cost=243.48..387.53 rows=5 width=4178) (actual time=44.739..53.213 rows=1 loops=1)',), ('  Buffers: shared hit=353',), ('  ->  Index Scan using idx_user_id_hash on user_app ua  (cost=0.00..8.02 rows=1 width=1036) (actual time=0.008..0.012 rows=1 loops=1)',), ('        Index Cond: (id_user = 1)',), ('        Buffers: shared hit=2',), ('  ->  Hash Join  (cost=243.48..379.46 rows=5 width=3150) (actual time=44.726..53.186 rows=1 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=351',), ('        ->  Seq Scan on task t  (cost=0.00..132.68 rows=868 width=1086) (actual time=0.004..12.838 rows=10000 loops=1)',), ('              Buffers: shared hit=124',), ('        ->  Hash  (cost=243.43..243.43 rows=4 width=2072) (actual time=27.009..27.023 rows=1 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=227',), ('              ->  Hash Join  (cost=91.39..243.43 rows=4 width=2072) (actual time=9.005..26.992 rows=1 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=227',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..150.15 rows=715 width=1040) (actual time=0.003..13.088 rows=10000 loops=1)',), ('                          Buffers: shared hit=143',), ('                    ->  Hash  (cost=91.35..91.35 rows=3 width=1040) (actual time=0.693..0.698 rows=2 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=84',), ('                          ->  Seq Scan on project p  (cost=0.00..91.35 rows=3 width=1040) (actual time=0.383..0.687 rows=2 loops=1)',), ('                                Filter: (user_id = 1)',), ('                                Rows Removed by Filter: 9998',), ('                                Buffers: shared hit=84',), ('Planning Time: 0.140 ms',), ('Execution Time: 53.240 ms',)]"
20000,No Index,0.005738563537597656,"[('Nested Loop  (cost=486.11..765.07 rows=8 width=4178) (actual time=65.557..103.721 rows=3 loops=1)',), ('  Buffers: shared hit=703',), ('  ->  Index Scan using user_app_pkey on user_app ua  (cost=0.28..8.29 rows=1 width=1036) (actual time=0.010..0.015 rows=1 loops=1)',), ('        Index Cond: (id_user = 1)',), ('        Buffers: shared hit=3',), ('  ->  Hash Join  (cost=485.84..756.69 rows=8 width=3150) (actual time=65.542..103.687 rows=3 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=700',), ('        ->  Seq Scan on task t  (cost=0.00..264.29 rows=1729 width=1086) (actual time=0.005..24.717 rows=20000 loops=1)',), ('              Buffers: shared hit=247',), ('        ->  Hash  (cost=485.75..485.75 rows=7 width=2072) (actual time=53.732..53.744 rows=3 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=453',), ('              ->  Hash Join  (cost=181.69..485.75 rows=7 width=2072) (actual time=1.904..53.727 rows=3 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=453',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..300.30 rows=1430 width=1040) (actual time=0.004..26.102 rows=20000 loops=1)',), ('                          Buffers: shared hit=286',), ('                    ->  Hash  (cost=181.61..181.61 rows=6 width=1040) (actual time=1.500..1.505 rows=1 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=167',), ('                          ->  Seq Scan on project p  (cost=0.00..181.61 rows=6 width=1040) (actual time=0.926..1.487 rows=1 loops=1)',), ('                                Filter: (user_id = 1)',), ('                                Rows Removed by Filter: 19999',), ('                                Buffers: shared hit=167',), ('Planning Time: 0.133 ms',), ('Execution Time: 103.754 ms',)]"
20000,BTREE,0.00569927453994751,"[('Nested Loop  (cost=486.13..765.08 rows=8 width=4178) (actual time=53.145..53.169 rows=0 loops=1)',), ('  Buffers: shared hit=457',), ('  ->  Index Scan using idx_user_id_btree on user_app ua  (cost=0.29..8.30 rows=1 width=1036) (actual time=0.010..0.016 rows=1 loops=1)',), ('        Index Cond: (id_user = 3)',), ('        Buffers: shared hit=3',), ('  ->  Hash Join  (cost=485.84..756.69 rows=8 width=3150) (actual time=53.124..53.142 rows=0 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=454',), ('        ->  Seq Scan on task t  (cost=0.00..264.29 rows=1729 width=1086) (actual time=0.004..0.006 rows=1 loops=1)',), ('              Buffers: shared hit=1',), ('        ->  Hash  (cost=485.75..485.75 rows=7 width=2072) (actual time=53.113..53.126 rows=0 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('              Buffers: shared hit=453',), ('              ->  Hash Join  (cost=181.69..485.75 rows=7 width=2072) (actual time=53.110..53.120 rows=0 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=453',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..300.30 rows=1430 width=1040) (actual time=0.003..25.665 rows=20000 loops=1)',), ('                          Buffers: shared hit=286',), ('                    ->  Hash  (cost=181.61..181.61 rows=6 width=1040) (actual time=1.379..1.384 rows=2 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=167',), ('                          ->  Seq Scan on project p  (cost=0.00..181.61 rows=6 width=1040) (actual time=0.364..1.373 rows=2 loops=1)',), ('                                Filter: (user_id = 3)',), ('                                Rows Removed by Filter: 19998',), ('                                Buffers: shared hit=167',), ('Planning Time: 0.138 ms',), ('Execution Time: 53.197 ms',)]"
20000,HASH,0.0055890679359436035,"[('Nested Loop  (cost=485.84..764.79 rows=8 width=4178) (actual time=67.782..107.422 rows=3 loops=1)',), ('  Buffers: shared hit=702',), ('  ->  Index Scan using idx_user_id_hash on user_app ua  (cost=0.00..8.02 rows=1 width=1036) (actual time=0.009..0.014 rows=1 loops=1)',), ('        Index Cond: (id_user = 1)',), ('        Buffers: shared hit=2',), ('  ->  Hash Join  (cost=485.84..756.69 rows=8 width=3150) (actual time=67.768..107.390 rows=3 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=700',), ('        ->  Seq Scan on task t  (cost=0.00..264.29 rows=1729 width=1086) (actual time=0.004..25.773 rows=20000 loops=1)',), ('              Buffers: shared hit=247',), ('        ->  Hash  (cost=485.75..485.75 rows=7 width=2072) (actual time=55.025..55.038 rows=3 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=453',), ('              ->  Hash Join  (cost=181.69..485.75 rows=7 width=2072) (actual time=1.751..55.025 rows=3 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=453',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..300.30 rows=1430 width=1040) (actual time=0.004..26.571 rows=20000 loops=1)',), ('                          Buffers: shared hit=286',), ('                    ->  Hash  (cost=181.61..181.61 rows=6 width=1040) (actual time=1.353..1.358 rows=1 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=167',), ('                          ->  Seq Scan on project p  (cost=0.00..181.61 rows=6 width=1040) (actual time=0.834..1.336 rows=1 loops=1)',), ('                                Filter: (user_id = 1)',), ('                                Rows Removed by Filter: 19999',), ('                                Buffers: shared hit=167',), ('Planning Time: 0.141 ms',), ('Execution Time: 107.455 ms',)]"
30000,No Index,0.00790804147720337,"[('Nested Loop  (cost=728.49..1143.48 rows=13 width=4178) (actual time=80.391..80.415 rows=0 loops=1)',), ('  Buffers: shared hit=683',), ('  ->  Index Scan using user_app_pkey on user_app ua  (cost=0.28..8.29 rows=1 width=1036) (actual time=0.012..0.018 rows=1 loops=1)',), ('        Index Cond: (id_user = 3)',), ('        Buffers: shared hit=3',), ('  ->  Hash Join  (cost=728.22..1135.06 rows=13 width=3150) (actual time=80.368..80.387 rows=0 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=680',), ('        ->  Seq Scan on task t  (cost=0.00..396.97 rows=2597 width=1086) (actual time=0.005..0.006 rows=1 loops=1)',), ('              Buffers: shared hit=1',), ('        ->  Hash  (cost=728.08..728.08 rows=11 width=2072) (actual time=80.357..80.371 rows=0 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('              Buffers: shared hit=679',), ('              ->  Hash Join  (cost=271.99..728.08 rows=11 width=2072) (actual time=80.354..80.364 rows=0 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=679',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..450.45 rows=2145 width=1040) (actual time=0.003..38.661 rows=30000 loops=1)',), ('                          Buffers: shared hit=429',), ('                    ->  Hash  (cost=271.88..271.88 rows=9 width=1040) (actual time=2.064..2.070 rows=4 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=250',), ('                          ->  Seq Scan on project p  (cost=0.00..271.88 rows=9 width=1040) (actual time=0.022..2.043 rows=4 loops=1)',), ('                                Filter: (user_id = 3)',), ('                                Rows Removed by Filter: 29996',), ('                                Buffers: shared hit=250',), ('Planning Time: 0.163 ms',), ('Execution Time: 80.446 ms',)]"
30000,BTREE,0.008068885803222656,"[('Nested Loop  (cost=728.50..1143.49 rows=13 width=4178) (actual time=110.166..157.973 rows=2 loops=1)',), ('  Buffers: shared hit=1053',), ('  ->  Index Scan using idx_user_id_btree on user_app ua  (cost=0.29..8.30 rows=1 width=1036) (actual time=0.011..0.016 rows=1 loops=1)',), ('        Index Cond: (id_user = 2)',), ('        Buffers: shared hit=3',), ('  ->  Hash Join  (cost=728.22..1135.06 rows=13 width=3150) (actual time=110.149..157.940 rows=2 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=1050',), ('        ->  Seq Scan on task t  (cost=0.00..396.97 rows=2597 width=1086) (actual time=0.004..38.358 rows=30000 loops=1)',), ('              Buffers: shared hit=371',), ('        ->  Hash  (cost=728.08..728.08 rows=11 width=2072) (actual time=79.872..79.887 rows=1 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=679',), ('              ->  Hash Join  (cost=271.99..728.08 rows=11 width=2072) (actual time=73.484..79.869 rows=1 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=679',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..450.45 rows=2145 width=1040) (actual time=0.003..38.654 rows=30000 loops=1)',), ('                          Buffers: shared hit=429',), ('                    ->  Hash  (cost=271.88..271.88 rows=9 width=1040) (actual time=2.061..2.066 rows=2 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=250',), ('                          ->  Seq Scan on project p  (cost=0.00..271.88 rows=9 width=1040) (actual time=1.016..2.052 rows=2 loops=1)',), ('                                Filter: (user_id = 2)',), ('                                Rows Removed by Filter: 29998',), ('                                Buffers: shared hit=250',), ('Planning Time: 0.138 ms',), ('Execution Time: 158.003 ms',)]"
30000,HASH,0.009240531921386718,"[('Nested Loop  (cost=1081.12..1495.86 rows=1 width=2175) (actual time=82.775..82.798 rows=0 loops=1)',), ('  Buffers: shared hit=680',), ('  ->  Hash Join  (cost=1081.12..1487.84 rows=1 width=2150) (actual time=82.771..82.791 rows=0 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=680',), ('        ->  Seq Scan on task t  (cost=0.00..396.97 rows=2597 width=1086) (actual time=0.009..0.010 rows=1 loops=1)',), ('              Buffers: shared hit=1',), ('        ->  Hash  (cost=1081.11..1081.11 rows=1 width=1072) (actual time=82.749..82.763 rows=0 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('              Buffers: shared hit=679',), ('              ->  Hash Join  (cost=625.02..1081.11 rows=1 width=1072) (actual time=82.746..82.757 rows=0 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=679',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..450.45 rows=2145 width=1040) (actual time=0.005..40.065 rows=30000 loops=1)',), ('                          Buffers: shared hit=429',), ('                    ->  Hash  (cost=625.00..625.00 rows=2 width=40) (actual time=1.883..1.889 rows=4 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=250',), ('                          ->  Seq Scan on project p  (cost=0.00..625.00 rows=2 width=40) (actual time=0.022..1.873 rows=4 loops=1)',), ('                                Filter: (user_id = 3)',), ('                                Rows Removed by Filter: 29996',), ('                                Buffers: shared hit=250',), ('  ->  Index Scan using idx_user_id_hash on user_app ua  (cost=0.00..8.02 rows=1 width=33) (never executed)',), ('        Index Cond: (id_user = 3)',), ('Planning Time: 0.173 ms',), ('Execution Time: 82.829 ms',)]"
40000,No Index,0.00984760284423828,"[('Hash Join  (cost=980.13..1521.85 rows=18 width=4178) (actual time=2.795..2.815 rows=0 loops=1)',), ('  Hash Cond: (t.table_id = ta.id_table)',), ('  Buffers: shared hit=339',), ('  ->  Seq Scan on task t  (cost=0.00..528.58 rows=3458 width=1086) (actual time=0.005..0.006 rows=1 loops=1)',), ('        Buffers: shared hit=1',), ('  ->  Hash  (cost=979.94..979.94 rows=15 width=3100) (actual time=2.784..2.800 rows=0 loops=1)',), ('        Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('        Buffers: shared hit=338',), ('        ->  Nested Loop  (cost=363.65..979.94 rows=15 width=3100) (actual time=2.782..2.795 rows=0 loops=1)',), ('              Buffers: shared hit=338',), ('              ->  Index Scan using user_app_pkey on user_app ua  (cost=0.28..8.29 rows=1 width=1036) (actual time=0.009..0.012 rows=1 loops=1)',), ('                    Index Cond: (id_user = 3)',), ('                    Buffers: shared hit=3',), ('              ->  Hash Join  (cost=363.38..971.49 rows=15 width=2072) (actual time=2.765..2.774 rows=0 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=335',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..600.60 rows=2860 width=1040) (actual time=0.003..0.005 rows=1 loops=1)',), ('                          Buffers: shared hit=1',), ('                    ->  Hash  (cost=363.23..363.23 rows=12 width=1040) (actual time=2.747..2.751 rows=0 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('                          Buffers: shared hit=334',), ('                          ->  Seq Scan on project p  (cost=0.00..363.23 rows=12 width=1040) (actual time=2.745..2.746 rows=0 loops=1)',), ('                                Filter: (user_id = 3)',), ('                                Rows Removed by Filter: 40000',), ('                                Buffers: shared hit=334',), ('Planning Time: 0.128 ms',), ('Execution Time: 2.839 ms',)]"
